Tarih,TP_BEK_S04_A_A
2017-02-01,8.08
2017-03-01,8.11
2017-04-01,8.04
2017-05-01,8.03
2017-06-01,8.03
2017-07-01,8.0
2017-08-01,8.0
2017-09-01,8.01
2017-10-01,8.01
2017-11-01,8.0
2017-12-01,8.39
2018-01-01,8.0
2018-02-01,8.0
2018-03-01,8.0
2018-04-01,8.0
2018-05-01,8.15
2018-06-01,17.57
2018-07-01,18.39
2018-08-01,18.1
2018-09-01,21.44
2018-10-01,24.29
2018-11-01,24.0
2018-12-01,23.97
2019-01-01,23.94
2019-02-01,24.0
2019-03-01,24.0
2019-04-01,24.03
2019-05-01,24.02
2019-06-01,24.0
2019-07-01,21.43
2019-08-01,19.75
2019-09-01,17.13
2019-10-01,15.92
2019-11-01,14.0
2019-12-01,12.52
2020-01-01,11.53
2020-02-01,11.02
2020-03-01,10.33
2020-04-01,9.33
2020-05-01,8.39
2020-06-01,8.0
2020-07-01,8.22
2020-08-01,8.59
2020-09-01,8.77
2020-10-01,11.64
2020-11-01,14.32
2020-12-01,16.18
2021-01-01,17.11
2021-02-01,17.05
2021-03-01,17.64
2021-04-01,18.97
2021-05-01,19.0
2021-06-01,19.0
2021-07-01,19.0
2021-08-01,19.0
2021-09-01,18.91
2021-10-01,17.63
2021-11-01,15.3
2021-12-01,14.53
2022-01-01,13.96
2022-02-01,14.0
2022-03-01,14.01
2022-04-01,14.11
2022-05-01,14.18
2022-06-01,14.0
2022-07-01,14.0
2022-08-01,14.0
2022-09-01,12.74
2022-10-01,11.27
2022-11-01,9.14
2022-12-01,9.01
2023-01-01,8.99
2023-02-01,8.85
2023-03-01,8.39
2023-04-01,8.44
2023-05-01,8.5
2023-06-01,17.56
2023-07-01,19.17
2023-08-01,19.36
2023-09-01,29.59
2023-10-01,33.78
2023-11-01,37.8
2023-12-01,42.25
2024-01-01,44.8
2024-02-01,45.09
2024-03-01,45.34
2024-04-01,50.4
2024-05-01,50.0
2024-06-01,50.0
2024-07-01,50.02
2024-08-01,50.0
2024-09-01,50.0
2024-10-01,50.0
2024-11-01,49.9
2024-12-01,48.51
2025-01-01,45.18
2025-02-01,45.0
2025-03-01,42.57
2025-04-01,42.74
2025-05-01,46.0
