Tarih,TP_BEK_S05_A_M
2017-01-01,3.7825
2017-02-01,3.7275
2017-03-01,3.75
2017-04-01,3.7
2017-05-01,3.6
2017-06-01,3.55
2017-07-01,3.5938
2017-08-01,3.55
2017-09-01,3.45
2017-10-01,3.65
2017-11-01,3.8525
2017-12-01,3.88
2018-01-01,3.8
2018-02-01,3.8075
2018-03-01,3.8555
2018-04-01,4.0838
2018-05-01,4.4
2018-06-01,4.5
2018-07-01,4.8
2018-08-01,5.85
2018-09-01,6.5
2018-10-01,5.75
2018-11-01,5.5
2018-12-01,5.4375
2019-01-01,5.5
2019-02-01,5.3
2019-03-01,5.49
2019-04-01,5.8
2019-05-01,6.1
2019-06-01,5.894
2019-07-01,5.75
2019-08-01,5.55
2019-09-01,5.745
2019-10-01,5.9
2019-11-01,5.8
2019-12-01,5.8
2020-01-01,5.955
2020-02-01,6.05
2020-03-01,6.2
2020-04-01,6.9
2020-05-01,6.95
2020-06-01,6.85
2020-07-01,6.87
2020-08-01,7.3
2020-09-01,7.5
2020-10-01,7.9
2020-11-01,7.89
2020-12-01,7.8
2021-01-01,7.45
2021-02-01,7.1
2021-03-01,7.5
2021-04-01,8.2
2021-05-01,8.3
2021-06-01,8.6
2021-07-01,8.7
2021-08-01,8.5
2021-09-01,8.5
2021-10-01,9.01
2021-11-01,9.8
2021-12-01,13.85
2022-01-01,13.9
2022-02-01,13.7
2022-03-01,14.7
2022-04-01,14.8
2022-05-01,16.0
2022-06-01,17.3375
2022-07-01,17.35
2022-08-01,18.0
2022-09-01,18.375
2022-10-01,18.75
2022-11-01,18.75
2022-12-01,18.7
2023-01-01,18.85
2023-02-01,18.9
2023-03-01,19.0
2023-04-01,19.5
2023-05-01,19.8
2023-06-01,24.0
2023-07-01,26.3
2023-08-01,27.3
2023-09-01,27.1888
2023-10-01,28.2
2023-11-01,29.0
2023-12-01,29.5873
2024-01-01,30.5
2024-02-01,31.1089
2024-03-01,32.685
2024-04-01,32.96
2024-05-01,32.5
2024-06-01,32.5406
2024-07-01,33.3137
2024-08-01,33.75
2024-09-01,34.5
2024-10-01,34.65
2024-11-01,34.7472
2024-12-01,35.27
2025-01-01,35.818
2025-02-01,36.4
2025-03-01,37.0
2025-04-01,38.32
2025-05-01,39.0
2025-06-01,39.65
2025-07-01,40.5
2025-08-01,41.05
2025-09-01,41.675
2025-10-01,42.1464
