Tarih,TP_BEK_S01_C_A
2017-02-01,0.95
2017-03-01,0.64
2017-04-01,0.28
2017-05-01,0.38
2017-06-01,0.21
2017-07-01,0.57
2017-08-01,1.17
2017-09-01,0.5
2017-10-01,0.51
2017-11-01,1.27
2017-12-01,0.73
2018-01-01,0.78
2018-02-01,1.05
2018-03-01,0.68
2018-04-01,0.32
2018-05-01,0.53
2018-06-01,0.57
2018-07-01,0.87
2018-08-01,1.5
2018-09-01,1.35
2018-10-01,0.98
2018-11-01,1.71
2018-12-01,0.98
2019-01-01,1.03
2019-02-01,1.55
2019-03-01,1.11
2019-04-01,0.93
2019-05-01,0.96
2019-06-01,0.91
2019-07-01,1.35
2019-08-01,1.93
2019-09-01,1.17
2019-10-01,0.93
2019-11-01,1.26
2019-12-01,0.65
2020-01-01,0.84
2020-02-01,1.08
2020-03-01,0.7
2020-04-01,0.43
2020-05-01,0.5
2020-06-01,0.48
2020-07-01,0.86
2020-08-01,1.29
2020-09-01,0.65
2020-10-01,0.65
2020-11-01,1.28
2020-12-01,0.66
2021-01-01,0.83
2021-02-01,1.08
2021-03-01,0.81
2021-04-01,0.67
2021-05-01,0.69
2021-06-01,0.73
2021-07-01,1.13
2021-08-01,1.57
2021-09-01,0.99
2021-10-01,0.94
2021-11-01,1.8
2021-12-01,1.96
2022-01-01,2.53
2022-02-01,2.62
2022-03-01,2.4
2022-04-01,2.25
2022-05-01,2.8
2022-06-01,2.68
2022-07-01,3.46
2022-08-01,3.67
2022-09-01,2.7
2022-10-01,3.21
2022-11-01,3.76
2022-12-01,2.62
2023-01-01,2.22
2023-02-01,2.57
2023-03-01,2.53
2023-04-01,2.61
2023-05-01,2.51
2023-06-01,2.21
2023-07-01,3.24
2023-08-01,3.97
2023-09-01,4.07
2023-10-01,3.42
2023-11-01,4.96
2023-12-01,3.29
2024-01-01,3.1
2024-02-01,3.4
2024-03-01,2.82
2024-04-01,2.51
2024-05-01,2.4
2024-06-01,2.19
2024-07-01,2.31
2024-08-01,2.39
2024-09-01,1.9
2024-10-01,1.68
2024-11-01,3.74
2024-12-01,2.58
2025-01-01,2.12
2025-02-01,2.2
2025-03-01,1.87
2025-04-01,1.7
2025-05-01,1.94
2025-06-01,1.64
2025-07-01,1.93
2025-08-01,2.05
2025-09-01,1.57
2025-10-01,1.14
