Tarih,TP_BEK_S06_B_S
2016-10-01,3569.94
2016-11-01,3813.92
2016-12-01,3302.11
2017-01-01,6694.35
2017-02-01,4771.9
2017-03-01,4905.1
2017-04-01,5028.96
2017-05-01,4181.9
2017-06-01,3816.82
2017-07-01,3543.95
2017-08-01,3651.88
2017-09-01,3162.19
2017-10-01,3562.26
2017-11-01,4006.87
2017-12-01,4189.11
2018-01-01,5458.28
2018-02-01,6943.04
2018-03-01,7924.28
2018-04-01,6825.91
2018-05-01,5626.38
2018-06-01,5980.83
2018-07-01,7128.4
2018-08-01,9044.47
2018-09-01,11094.08
2018-10-01,8976.44
2018-11-01,8578.73
2018-12-01,7643.12
2019-01-01,7284.36
2019-02-01,8087.88
2019-03-01,7269.68
2019-04-01,6667.86
2019-05-01,6273.42
2019-06-01,6386.68
2019-07-01,6329.51
2019-08-01,9147.34
2019-09-01,6036.93
2019-10-01,6094.16
2019-11-01,6568.15
2019-12-01,5854.14
2020-01-01,8215.95
2020-02-01,6982.62
2020-03-01,6620.9
2020-04-01,9506.66
2020-05-01,6804.87
2020-06-01,6691.41
2020-07-01,8448.53
2020-08-01,7030.74
2020-09-01,7343.86
2020-10-01,7834.51
2020-11-01,7846.59
2020-12-01,7635.78
2021-01-01,10240.08
2021-02-01,9410.28
2021-03-01,10816.2
2021-04-01,8972.24
2021-05-01,8044.61
2021-06-01,8147.66
2021-07-01,7310.7
2021-08-01,7523.42
2021-09-01,5513.89
2021-10-01,4813.84
2021-11-01,6466.84
2021-12-01,9980.55
2022-01-01,7669.56
2022-02-01,7680.48
2022-03-01,7939.08
2022-04-01,7920.15
2022-05-01,8405.28
2022-06-01,9794.79
2022-07-01,9050.85
2022-08-01,8984.24
2022-09-01,9004.18
2022-10-01,7206.5
2022-11-01,9546.96
2022-12-01,7813.11
2023-01-01,10608.17
2023-02-01,9105.17
2023-03-01,9015.61
2023-04-01,8271.78
2023-05-01,10671.13
2023-06-01,11791.06
2023-07-01,12840.07
2023-08-01,11838.69
2023-09-01,4414.02
2023-10-01,6677.31
2023-11-01,5983.84
2023-12-01,5684.38
2024-01-01,5153.19
2024-02-01,4921.59
2024-03-01,4555.43
2024-04-01,4909.9
2024-05-01,5260.02
2024-06-01,5030.2
2024-07-01,5532.43
2024-08-01,4829.97
2024-09-01,4231.07
2024-10-01,3854.5
2024-11-01,5477.77
2024-12-01,4961.4
2025-01-01,7309.32
2025-02-01,5769.41
2025-03-01,6172.93
2025-04-01,5715.45
2025-05-01,4207.4
2025-06-01,4031.38
2025-07-01,4348.61
2025-08-01,4307.47
2025-09-01,4364.59
2025-10-01,4104.67
