Tarih,TP_BEK_S05_A_S
2016-10-01,0.0299
2016-11-01,0.0685
2016-12-01,0.0639
2017-01-01,0.0619
2017-02-01,0.0682
2017-03-01,0.0699
2017-04-01,0.0689
2017-05-01,0.043
2017-06-01,0.0424
2017-07-01,0.0357
2017-08-01,0.0332
2017-09-01,0.0449
2017-10-01,0.0536
2017-11-01,0.0484
2017-12-01,0.077
2018-01-01,0.0692
2018-02-01,0.0246
2018-03-01,0.0399
2018-04-01,0.0561
2018-05-01,0.1209
2018-06-01,0.1186
2018-07-01,0.0844
2018-08-01,0.3776
2018-09-01,0.2932
2018-10-01,0.195
2018-11-01,0.1082
2018-12-01,0.1563
2019-01-01,0.1024
2019-02-01,0.0628
2019-03-01,0.0654
2019-04-01,0.077
2019-05-01,0.091
2019-06-01,0.1552
2019-07-01,0.0934
2019-08-01,0.0771
2019-09-01,0.1068
2019-10-01,0.0776
2019-11-01,0.0548
2019-12-01,0.0717
2020-01-01,0.0593
2020-02-01,0.0432
2020-03-01,0.083
2020-04-01,0.1096
2020-05-01,0.0862
2020-06-01,0.0522
2020-07-01,0.0283
2020-08-01,0.1023
2020-09-01,0.0659
2020-10-01,0.0897
2020-11-01,0.2772
2020-12-01,0.1331
2021-01-01,0.1097
2021-02-01,0.1386
2021-03-01,0.1342
2021-04-01,0.1177
2021-05-01,0.1104
2021-06-01,0.0948
2021-07-01,0.0872
2021-08-01,0.105
2021-09-01,0.1107
2021-10-01,0.1182
2021-11-01,0.1488
2021-12-01,0.3086
2022-01-01,0.3301
2022-02-01,0.1883
2022-03-01,0.3954
2022-04-01,0.2404
2022-05-01,0.3822
2022-06-01,0.3421
2022-07-01,0.3127
2022-08-01,0.228
2022-09-01,0.3819
2022-10-01,0.2348
2022-11-01,0.165
2022-12-01,0.2642
2023-01-01,0.2777
2023-02-01,0.1073
2023-03-01,0.1629
2023-04-01,0.1845
2023-05-01,0.2127
2023-06-01,0.6379
2023-07-01,0.3519
2023-08-01,0.3013
2023-09-01,0.4565
2023-10-01,0.2621
2023-11-01,0.3346
2023-12-01,0.389
2024-01-01,0.253
2024-02-01,0.2589
2024-03-01,0.3441
2024-04-01,0.2886
2024-05-01,0.3505
2024-06-01,0.3236
2024-07-01,0.3322
2024-08-01,0.346
2024-09-01,0.2652
2024-10-01,0.2636
2024-11-01,0.286
2024-12-01,0.2916
2025-01-01,0.2386
2025-02-01,0.2411
2025-03-01,0.2319
2025-04-01,0.2942
2025-05-01,0.1935
2025-06-01,0.2033
2025-07-01,0.185
2025-08-01,0.2255
2025-09-01,0.2372
2025-10-01,0.1539
