Tarih,TP_BEK_S01_E_A
2017-02-01,8.21
2017-03-01,8.18
2017-04-01,8.34
2017-05-01,8.41
2017-06-01,8.32
2017-07-01,8.41
2017-08-01,8.48
2017-09-01,8.44
2017-10-01,8.61
2017-11-01,8.99
2017-12-01,9.44
2018-01-01,9.24
2018-02-01,9.26
2018-03-01,9.24
2018-04-01,9.67
2018-05-01,10.15
2018-06-01,10.57
2018-07-01,11.36
2018-08-01,13.19
2018-09-01,14.98
2018-10-01,17.24
2018-11-01,17.38
2018-12-01,16.57
2019-01-01,16.18
2019-02-01,15.47
2019-03-01,15.24
2019-04-01,15.38
2019-05-01,15.48
2019-06-01,14.88
2019-07-01,13.9
2019-08-01,12.88
2019-09-01,12.21
2019-10-01,11.18
2019-11-01,10.46
2019-12-01,10.07
2020-01-01,9.69
2020-02-01,9.61
2020-03-01,9.51
2020-04-01,9.7
2020-05-01,9.2
2020-06-01,9.16
2020-07-01,9.26
2020-08-01,9.71
2020-09-01,10.16
2020-10-01,10.53
2020-11-01,10.77
2020-12-01,10.91
2021-01-01,10.59
2021-02-01,10.28
2021-03-01,10.46
2021-04-01,11.36
2021-05-01,11.81
2021-06-01,12.12
2021-07-01,12.62
2021-08-01,12.48
2021-09-01,12.94
2021-10-01,13.91
2021-11-01,15.61
2021-12-01,21.39
2022-01-01,25.37
2022-02-01,24.83
2022-03-01,27.08
2022-04-01,28.65
2022-05-01,34.08
2022-06-01,37.91
2022-07-01,40.23
2022-08-01,41.99
2022-09-01,36.74
2022-10-01,37.34
2022-11-01,38.08
2022-12-01,34.92
2023-01-01,30.44
2023-02-01,30.75
2023-03-01,31.63
2023-04-01,31.02
2023-05-01,29.84
2023-06-01,30.65
2023-07-01,33.21
2023-08-01,42.01
2023-09-01,44.94
2023-10-01,45.75
2023-11-01,44.07
2023-12-01,41.23
2024-01-01,39.09
2024-02-01,37.6
2024-03-01,36.7
2024-04-01,35.17
2024-05-01,33.21
2024-06-01,31.79
2024-07-01,30.02
2024-08-01,28.73
2024-09-01,27.49
2024-10-01,27.61
2024-11-01,27.2
2024-12-01,27.07
2025-01-01,25.52
2025-02-01,25.26
2025-03-01,24.55
2025-04-01,25.21
2025-05-01,24.86
2025-06-01,24.33
2025-07-01,23.39
2025-08-01,22.7
2025-09-01,22.25
2025-10-01,23.14
