Tarih,TP_BEK_S01_D_S
2017-02-01,0.51
2017-03-01,0.63
2017-04-01,0.84
2017-05-01,0.73
2017-06-01,0.61
2017-07-01,0.55
2017-08-01,0.47
2017-09-01,0.59
2017-10-01,0.56
2017-11-01,0.63
2017-12-01,0.54
2018-01-01,0.74
2018-02-01,0.63
2018-03-01,0.57
2018-04-01,0.63
2018-05-01,0.85
2018-06-01,0.97
2018-07-01,1.24
2018-08-01,2.09
2018-09-01,1.8
2018-10-01,2.2
2018-11-01,1.2
2018-12-01,0.79
2019-01-01,1.92
2019-02-01,1.73
2019-03-01,1.7
2019-04-01,1.73
2019-05-01,1.65
2019-06-01,1.49
2019-07-01,1.55
2019-08-01,1.16
2019-09-01,1.0
2019-10-01,0.74
2019-11-01,0.66
2019-12-01,0.31
2020-01-01,1.02
2020-02-01,1.1
2020-03-01,1.06
2020-04-01,1.46
2020-05-01,1.3
2020-06-01,1.33
2020-07-01,1.29
2020-08-01,1.0
2020-09-01,0.96
2020-10-01,0.63
2020-11-01,0.55
2020-12-01,0.47
2021-01-01,1.02
2021-02-01,0.91
2021-03-01,0.85
2021-04-01,1.43
2021-05-01,1.13
2021-06-01,1.19
2021-07-01,0.86
2021-08-01,0.99
2021-09-01,0.91
2021-10-01,0.82
2021-11-01,0.99
2021-12-01,1.45
2022-01-01,8.13
2022-02-01,5.91
2022-03-01,6.9
2022-04-01,6.39
2022-05-01,8.06
2022-06-01,8.75
2022-07-01,7.73
2022-08-01,5.76
2022-09-01,3.35
2022-10-01,3.0
2022-11-01,2.39
2022-12-01,1.22
2023-01-01,8.63
2023-02-01,7.23
2023-03-01,7.37
2023-04-01,6.92
2023-05-01,6.85
2023-06-01,6.52
2023-07-01,7.49
2023-08-01,4.41
2023-09-01,5.32
2023-10-01,2.99
2023-11-01,1.74
2023-12-01,0.97
2024-01-01,2.89
2024-02-01,2.85
2024-03-01,3.1
2024-04-01,3.26
2024-05-01,2.56
2024-06-01,2.43
2024-07-01,2.14
2024-08-01,2.05
2024-09-01,1.53
2024-10-01,1.13
2024-11-01,0.74
2024-12-01,0.5
2025-01-01,2.42
2025-02-01,2.11
2025-03-01,1.91
2025-04-01,2.24
2025-05-01,1.96
2025-06-01,1.57
2025-07-01,1.45
2025-08-01,1.33
2025-09-01,0.95
2025-10-01,1.12
