Tarih,TP_BEK_S04_E_A
2017-02-01,8.37
2017-03-01,8.29
2017-04-01,8.2
2017-05-01,8.36
2017-06-01,8.13
2017-07-01,8.16
2017-08-01,8.01
2017-09-01,8.14
2017-10-01,8.08
2017-11-01,8.26
2017-12-01,8.23
2018-01-01,8.03
2018-02-01,8.01
2018-03-01,7.96
2018-04-01,8.27
2018-05-01,8.78
2018-06-01,14.02
2018-07-01,14.46
2018-08-01,16.14
2018-09-01,16.48
2018-10-01,17.2
2018-11-01,16.75
2018-12-01,16.24
2019-01-01,15.36
2019-02-01,15.11
2019-03-01,15.0
2019-04-01,15.83
2019-05-01,16.27
2019-06-01,15.43
2019-07-01,13.73
2019-08-01,12.44
2019-09-01,11.75
2019-10-01,11.52
2019-11-01,10.01
2019-12-01,9.76
2020-01-01,9.07
2020-02-01,8.87
2020-03-01,8.74
2020-04-01,8.41
2020-05-01,7.79
2020-06-01,7.48
2020-07-01,7.82
2020-08-01,8.61
2020-09-01,8.85
2020-10-01,9.73
2020-11-01,10.46
2020-12-01,10.82
2021-01-01,10.63
2021-02-01,10.8
2021-03-01,10.7
2021-04-01,11.55
2021-05-01,11.68
2021-06-01,11.78
2021-07-01,12.24
2021-08-01,12.18
2021-09-01,12.3
2021-10-01,12.38
2021-11-01,12.21
2021-12-01,13.82
2022-01-01,14.53
2022-02-01,14.76
2022-03-01,15.5
2022-04-01,16.45
2022-05-01,18.05
2022-06-01,19.79
2022-07-01,19.42
2022-08-01,19.9
2022-09-01,13.91
2022-10-01,13.48
2022-11-01,13.29
2022-12-01,12.94
2023-01-01,11.18
2023-02-01,11.55
2023-03-01,10.74
2023-04-01,11.52
2023-05-01,10.59
2023-06-01,14.04
2023-07-01,15.13
2023-08-01,16.7
2023-09-01,20.61
2023-10-01,25.79
2023-11-01,25.78
2023-12-01,24.75
2024-01-01,23.98
2024-02-01,23.89
2024-03-01,24.43
2024-04-01,25.44
2024-05-01,23.57
2024-06-01,23.73
2024-07-01,22.17
2024-08-01,21.86
2024-09-01,21.13
2024-10-01,21.57
2024-11-01,21.07
2024-12-01,21.36
2025-01-01,20.2
2025-02-01,20.2
2025-03-01,19.3
2025-04-01,20.25
2025-05-01,20.83
2025-06-01,20.13
2025-07-01,19.71
2025-08-01,19.62
2025-09-01,19.54
2025-10-01,20.41
