Tarih,TP_BEK_S01_A_U
2017-02-01,0.62
2017-03-01,0.68
2017-04-01,0.95
2017-05-01,0.59
2017-06-01,0.14
2017-07-01,0.18
2017-08-01,0.21
2017-09-01,0.57
2017-10-01,1.31
2017-11-01,0.75
2017-12-01,0.55
2018-01-01,1.32
2018-02-01,0.64
2018-03-01,0.82
2018-04-01,1.23
2018-05-01,0.99
2018-06-01,0.82
2018-07-01,0.83
2018-08-01,1.15
2018-09-01,2.13
2018-10-01,1.99
2018-11-01,0.88
2018-12-01,0.45
2019-01-01,1.16
2019-02-01,0.76
2019-03-01,0.94
2019-04-01,1.61
2019-05-01,1.48
2019-06-01,0.91
2019-07-01,1.25
2019-08-01,1.26
2019-09-01,1.49
2019-10-01,1.9
2019-11-01,0.82
2019-12-01,0.59
2020-01-01,1.1
2020-02-01,0.69
2020-03-01,0.82
2020-04-01,0.93
2020-05-01,0.76
2020-06-01,0.5
2020-07-01,0.61
2020-08-01,0.68
2020-09-01,1.07
2020-10-01,1.62
2020-11-01,0.99
2020-12-01,0.9
2021-01-01,1.35
2021-02-01,0.78
2021-03-01,0.94
2021-04-01,1.51
2021-05-01,1.27
2021-06-01,1.21
2021-07-01,1.17
2021-08-01,0.99
2021-09-01,1.11
2021-10-01,1.94
2021-11-01,1.77
2021-12-01,3.37
2022-01-01,6.45
2022-02-01,4.22
2022-03-01,4.13
2022-04-01,4.23
2022-05-01,3.97
2022-06-01,3.77
2022-07-01,3.4
2022-08-01,2.57
2022-09-01,2.98
2022-10-01,3.39
2022-11-01,3.14
2022-12-01,2.69
2023-01-01,2.65
2023-02-01,3.01
2023-03-01,2.88
2023-04-01,2.65
2023-05-01,2.41
2023-06-01,2.81
2023-07-01,3.76
2023-08-01,5.54
2023-09-01,5.14
2023-10-01,4.3
2023-11-01,4.07
2023-12-01,3.26
2024-01-01,5.41
2024-02-01,3.8
2024-03-01,3.43
2024-04-01,3.25
2024-05-01,3.04
2024-06-01,2.52
2024-07-01,2.77
2024-08-01,2.55
2024-09-01,2.22
2024-10-01,2.39
2024-11-01,2.01
2024-12-01,1.72
2025-01-01,4.07
2025-02-01,3.23
2025-03-01,2.27
2025-04-01,3.07
2025-05-01,2.36
2025-06-01,1.61
2025-07-01,2.11
2025-08-01,1.69
2025-09-01,2.04
2025-10-01,2.34
