Tarih,TP_UNDNAKLIYE_TIT_KZ_ADET
2016-10-01,157.0
2016-11-01,137.0
2016-12-01,111.0
2017-01-01,156.0
2017-02-01,117.0
2017-03-01,125.0
2017-04-01,188.0
2017-05-01,277.0
2017-06-01,136.0
2017-07-01,46.0
2017-08-01,66.0
2017-09-01,103.0
2017-10-01,88.0
2017-11-01,76.0
2017-12-01,73.0
2018-01-01,117.0
2018-02-01,109.0
2018-03-01,185.0
2018-04-01,243.0
2018-05-01,164.0
2018-06-01,194.0
2018-07-01,202.0
2018-08-01,225.0
2018-09-01,182.0
2018-10-01,159.0
2018-11-01,174.0
2018-12-01,129.0
2019-01-01,91.0
2019-02-01,150.0
2019-03-01,223.0
2019-04-01,283.0
2019-05-01,236.0
2019-06-01,284.0
2019-07-01,403.0
2019-08-01,322.0
2019-09-01,354.0
2019-10-01,379.0
2019-11-01,252.0
2019-12-01,308.0
2020-01-01,304.0
2020-02-01,281.0
2020-03-01,378.0
2020-04-01,234.0
2020-05-01,127.0
2020-06-01,134.0
2020-07-01,153.0
2020-08-01,173.0
2020-09-01,204.0
2020-10-01,395.0
2020-11-01,292.0
2020-12-01,306.0
2021-01-01,276.0
2021-02-01,307.0
2021-03-01,383.0
2021-04-01,613.0
2021-05-01,523.0
2021-06-01,471.0
2021-07-01,268.0
2021-08-01,503.0
2021-09-01,613.0
2021-10-01,605.0
2021-11-01,573.0
2021-12-01,315.0
2022-01-01,123.0
2022-02-01,237.0
2022-03-01,182.0
2022-04-01,468.0
2022-05-01,570.0
2022-06-01,400.0
2022-07-01,504.0
2022-08-01,536.0
2022-09-01,642.0
2022-10-01,601.0
2022-11-01,797.0
2022-12-01,854.0
2023-01-01,992.0
2023-02-01,1200.0
2023-03-01,1522.0
2023-04-01,1681.0
2023-05-01,1635.0
2023-06-01,1442.0
2023-07-01,1479.0
2023-08-01,1611.0
2023-09-01,1680.0
2023-10-01,1590.0
2023-11-01,1727.0
2023-12-01,1138.0
2024-01-01,1334.0
2024-02-01,917.0
2024-03-01,1592.0
2024-04-01,1565.0
2024-05-01,1528.0
2024-06-01,1047.0
2024-07-01,977.0
2024-08-01,955.0
2024-09-01,1157.0
2024-10-01,1148.0
2024-11-01,923.0
2024-12-01,1011.0
2025-01-01,1114.0
2025-02-01,963.0
2025-03-01,1405.0
2025-04-01,1142.0
2025-05-01,1349.0
2025-06-01,1228.0
2025-07-01,777.0
2025-08-01,1105.0
2025-09-01,917.0
