Tarih,TP_UNDNAKLIYE_TIT_TOPLAM_ADET
2016-05-01,33069.0
2016-06-01,31722.0
2016-07-01,25155.0
2016-08-01,26526.0
2016-09-01,26715.0
2016-10-01,32878.0
2016-11-01,31332.0
2016-12-01,31636.0
2017-01-01,26019.0
2017-02-01,33031.0
2017-03-01,42104.0
2017-04-01,41011.0
2017-05-01,40630.0
2017-06-01,38901.0
2017-07-01,38420.0
2017-08-01,36106.0
2017-09-01,36090.0
2017-10-01,42881.0
2017-11-01,39835.0
2017-12-01,39375.0
2018-01-01,32713.0
2018-02-01,35231.0
2018-03-01,42405.0
2018-04-01,38294.0
2018-05-01,38876.0
2018-06-01,34496.0
2018-07-01,35799.0
2018-08-01,26714.0
2018-09-01,29313.0
2018-10-01,32253.0
2018-11-01,32750.0
2018-12-01,33150.0
2019-01-01,26795.0
2019-02-01,33719.0
2019-03-01,37940.0
2019-04-01,35553.0
2019-05-01,38687.0
2019-06-01,30112.0
2019-07-01,35756.0
2019-08-01,29200.0
2019-09-01,32538.0
2019-10-01,37135.0
2019-11-01,36572.0
2019-12-01,38660.0
2020-01-01,30343.0
2020-02-01,39443.0
2020-03-01,34695.0
2020-04-01,20616.0
2020-05-01,23452.0
2020-06-01,27526.0
2020-07-01,35034.0
2020-08-01,30340.0
2020-09-01,36506.0
2020-10-01,40693.0
2020-11-01,40135.0
2020-12-01,41269.0
2021-01-01,33494.0
2021-02-01,38717.0
2021-03-01,44540.0
2021-04-01,42546.0
2021-05-01,41122.0
2021-06-01,44391.0
2021-07-01,40949.0
2021-08-01,42859.0
2021-09-01,45181.0
2021-10-01,49248.0
2021-11-01,50894.0
2021-12-01,50220.0
2022-01-01,44467.0
2022-02-01,48577.0
2022-03-01,55522.0
2022-04-01,53195.0
2022-05-01,53311.0
2022-06-01,52787.0
2022-07-01,50184.0
2022-08-01,52137.0
2022-09-01,52055.0
2022-10-01,55582.0
2022-11-01,55823.0
2022-12-01,57095.0
2023-01-01,49509.0
2023-02-01,49181.0
2023-03-01,58796.0
2023-04-01,53162.0
2023-05-01,58484.0
2023-06-01,56702.0
2023-07-01,53791.0
2023-08-01,53242.0
2023-09-01,57483.0
2023-10-01,61713.0
2023-11-01,59356.0
2023-12-01,59516.0
2024-01-01,53373.0
2024-02-01,58336.0
2024-03-01,62359.0
2024-04-01,56799.0
2024-05-01,61356.0
2024-06-01,57547.0
2024-07-01,62533.0
2024-08-01,57686.0
2024-09-01,57823.0
2024-10-01,63647.0
2024-11-01,66195.0
2024-12-01,68689.0
2025-01-01,62882.0
2025-02-01,64974.0
2025-03-01,75368.0
2025-04-01,65589.0
2025-05-01,70803.0
2025-06-01,67586.0
2025-07-01,70953.0
2025-08-01,64029.0
2025-09-01,66501.0
