Tarih,TP_UNDNAKLIYE_TIT_UA_ADET
2016-10-01,351.0
2016-11-01,366.0
2016-12-01,347.0
2017-01-01,333.0
2017-02-01,292.0
2017-03-01,404.0
2017-04-01,321.0
2017-05-01,301.0
2017-06-01,274.0
2017-07-01,288.0
2017-08-01,298.0
2017-09-01,400.0
2017-10-01,520.0
2017-11-01,721.0
2017-12-01,681.0
2018-01-01,625.0
2018-02-01,519.0
2018-03-01,580.0
2018-04-01,545.0
2018-05-01,695.0
2018-06-01,700.0
2018-07-01,566.0
2018-08-01,476.0
2018-09-01,569.0
2018-10-01,709.0
2018-11-01,689.0
2018-12-01,760.0
2019-01-01,593.0
2019-02-01,558.0
2019-03-01,725.0
2019-04-01,644.0
2019-05-01,765.0
2019-06-01,542.0
2019-07-01,696.0
2019-08-01,550.0
2019-09-01,581.0
2019-10-01,607.0
2019-11-01,552.0
2019-12-01,981.0
2020-01-01,595.0
2020-02-01,754.0
2020-03-01,868.0
2020-04-01,718.0
2020-05-01,578.0
2020-06-01,658.0
2020-07-01,833.0
2020-08-01,844.0
2020-09-01,784.0
2020-10-01,689.0
2020-11-01,765.0
2020-12-01,778.0
2021-01-01,648.0
2021-02-01,686.0
2021-03-01,882.0
2021-04-01,910.0
2021-05-01,814.0
2021-06-01,663.0
2021-07-01,661.0
2021-08-01,675.0
2021-09-01,624.0
2021-10-01,555.0
2021-11-01,696.0
2021-12-01,700.0
2022-01-01,697.0
2022-02-01,725.0
2022-03-01,178.0
2022-04-01,332.0
2022-05-01,882.0
2022-06-01,1647.0
2022-07-01,1778.0
2022-08-01,1053.0
2022-09-01,1246.0
2022-10-01,943.0
2022-11-01,1207.0
2022-12-01,1501.0
2023-01-01,867.0
2023-02-01,675.0
2023-03-01,641.0
2023-04-01,532.0
2023-05-01,606.0
2023-06-01,663.0
2023-07-01,314.0
2023-08-01,364.0
2023-09-01,443.0
2023-10-01,285.0
2023-11-01,395.0
2023-12-01,326.0
2024-01-01,461.0
2024-02-01,337.0
2024-03-01,337.0
2024-04-01,382.0
2024-05-01,255.0
2024-06-01,18.0
2024-07-01,9.0
2024-08-01,17.0
2024-09-01,14.0
2024-10-01,20.0
2024-11-01,128.0
2024-12-01,211.0
2025-01-01,117.0
2025-02-01,150.0
2025-03-01,115.0
2025-04-01,97.0
2025-05-01,98.0
2025-06-01,101.0
2025-07-01,70.0
2025-08-01,42.0
2025-09-01,56.0
