Tarih,TP_UNDNAKLIYE_TIT_GR_ADET
2016-08-01,675.0
2016-09-01,635.0
2016-10-01,950.0
2016-11-01,1001.0
2016-12-01,849.0
2017-01-01,671.0
2017-02-01,848.0
2017-03-01,1264.0
2017-04-01,1109.0
2017-05-01,1111.0
2017-06-01,1011.0
2017-07-01,957.0
2017-08-01,965.0
2017-09-01,1030.0
2017-10-01,1335.0
2017-11-01,1377.0
2017-12-01,1200.0
2018-01-01,985.0
2018-02-01,1075.0
2018-03-01,1238.0
2018-04-01,1026.0
2018-05-01,1105.0
2018-06-01,1276.0
2018-07-01,957.0
2018-08-01,725.0
2018-09-01,854.0
2018-10-01,643.0
2018-11-01,779.0
2018-12-01,841.0
2019-01-01,917.0
2019-02-01,1133.0
2019-03-01,1292.0
2019-04-01,1248.0
2019-05-01,1288.0
2019-06-01,869.0
2019-07-01,929.0
2019-08-01,660.0
2019-09-01,815.0
2019-10-01,1194.0
2019-11-01,1484.0
2019-12-01,1153.0
2020-01-01,1065.0
2020-02-01,1308.0
2020-03-01,1104.0
2020-04-01,700.0
2020-05-01,786.0
2020-06-01,926.0
2020-07-01,969.0
2020-08-01,805.0
2020-09-01,923.0
2020-10-01,1204.0
2020-11-01,1086.0
2020-12-01,1171.0
2021-01-01,1212.0
2021-02-01,1215.0
2021-03-01,1303.0
2021-04-01,1291.0
2021-05-01,789.0
2021-06-01,1159.0
2021-07-01,1089.0
2021-08-01,1072.0
2021-09-01,1074.0
2021-10-01,1499.0
2021-11-01,1665.0
2021-12-01,1690.0
2022-01-01,1005.0
2022-02-01,1243.0
2022-03-01,1331.0
2022-04-01,1331.0
2022-05-01,1378.0
2022-06-01,1433.0
2022-07-01,1142.0
2022-08-01,1035.0
2022-09-01,1131.0
2022-10-01,1293.0
2022-11-01,1574.0
2022-12-01,1495.0
2023-01-01,1256.0
2023-02-01,1421.0
2023-03-01,1792.0
2023-04-01,1388.0
2023-05-01,1489.0
2023-06-01,1190.0
2023-07-01,1127.0
2023-08-01,1027.0
2023-09-01,1132.0
2023-10-01,1086.0
2023-11-01,1070.0
2023-12-01,1088.0
2024-01-01,1013.0
2024-02-01,1464.0
2024-03-01,1562.0
2024-04-01,1237.0
2024-05-01,1384.0
2024-06-01,1091.0
2024-07-01,1280.0
2024-08-01,993.0
2024-09-01,1012.0
2024-10-01,1105.0
2024-11-01,1311.0
2024-12-01,1218.0
2025-01-01,1321.0
2025-02-01,1447.0
2025-03-01,1431.0
2025-04-01,1221.0
2025-05-01,1552.0
2025-06-01,1102.0
2025-07-01,1184.0
2025-08-01,1117.0
2025-09-01,1111.0
