Tarih,TP_UNDNAKLIYE_TIT_IR_ADET
2016-07-01,515.0
2016-08-01,387.0
2016-09-01,243.0
2016-10-01,252.0
2016-11-01,389.0
2016-12-01,347.0
2017-01-01,323.0
2017-02-01,714.0
2017-03-01,1385.0
2017-04-01,1136.0
2017-05-01,978.0
2017-06-01,611.0
2017-07-01,624.0
2017-08-01,1026.0
2017-09-01,730.0
2017-10-01,1217.0
2017-11-01,926.0
2017-12-01,480.0
2018-01-01,605.0
2018-02-01,1067.0
2018-03-01,1740.0
2018-04-01,1766.0
2018-05-01,1430.0
2018-06-01,619.0
2018-07-01,360.0
2018-08-01,213.0
2018-09-01,195.0
2018-10-01,372.0
2018-11-01,594.0
2018-12-01,707.0
2019-01-01,816.0
2019-02-01,1419.0
2019-03-01,1799.0
2019-04-01,1639.0
2019-05-01,2284.0
2019-06-01,615.0
2019-07-01,471.0
2019-08-01,509.0
2019-09-01,1055.0
2019-10-01,1296.0
2019-11-01,1092.0
2019-12-01,1058.0
2020-01-01,935.0
2020-02-01,895.0
2020-03-01,762.0
2020-04-01,289.0
2020-05-01,504.0
2020-06-01,867.0
2020-07-01,1023.0
2020-08-01,574.0
2020-09-01,643.0
2020-10-01,774.0
2020-11-01,973.0
2020-12-01,1344.0
2021-01-01,1569.0
2021-02-01,1612.0
2021-03-01,2731.0
2021-04-01,2880.0
2021-05-01,3349.0
2021-06-01,2167.0
2021-07-01,2106.0
2021-08-01,2680.0
2021-09-01,3282.0
2021-10-01,3777.0
2021-11-01,4286.0
2021-12-01,4305.0
2022-01-01,4131.0
2022-02-01,3877.0
2022-03-01,5076.0
2022-04-01,5222.0
2022-05-01,4949.0
2022-06-01,4465.0
2022-07-01,3046.0
2022-08-01,2969.0
2022-09-01,2456.0
2022-10-01,3529.0
2022-11-01,4320.0
2022-12-01,4207.0
2023-01-01,3868.0
2023-02-01,3407.0
2023-03-01,4187.0
2023-04-01,3560.0
2023-05-01,3662.0
2023-06-01,3017.0
2023-07-01,2302.0
2023-08-01,2653.0
2023-09-01,1940.0
2023-10-01,2528.0
2023-11-01,2946.0
2023-12-01,2598.0
2024-01-01,3113.0
2024-02-01,2750.0
2024-03-01,3522.0
2024-04-01,2606.0
2024-05-01,3548.0
2024-06-01,2830.0
2024-07-01,2885.0
2024-08-01,2624.0
2024-09-01,2476.0
2024-10-01,2918.0
2024-11-01,2916.0
2024-12-01,3788.0
2025-01-01,3528.0
2025-02-01,2594.0
2025-03-01,3108.0
2025-04-01,2140.0
2025-05-01,2130.0
2025-06-01,2050.0
2025-07-01,1853.0
2025-08-01,2226.0
2025-09-01,1957.0
