Tarih,TP_UNDNAKLIYE_TIT_FR_ADET
2016-05-01,2319.0
2016-06-01,2442.0
2016-07-01,1850.0
2016-08-01,1664.0
2016-09-01,2248.0
2016-10-01,2661.0
2016-11-01,2322.0
2016-12-01,2823.0
2017-01-01,2201.0
2017-02-01,2548.0
2017-03-01,2568.0
2017-04-01,2676.0
2017-05-01,2625.0
2017-06-01,2587.0
2017-07-01,2619.0
2017-08-01,2085.0
2017-09-01,2561.0
2017-10-01,3087.0
2017-11-01,3219.0
2017-12-01,3185.0
2018-01-01,2537.0
2018-02-01,2821.0
2018-03-01,3471.0
2018-04-01,3118.0
2018-05-01,2877.0
2018-06-01,2994.0
2018-07-01,3166.0
2018-08-01,2006.0
2018-09-01,2218.0
2018-10-01,2570.0
2018-11-01,2693.0
2018-12-01,2580.0
2019-01-01,1957.0
2019-02-01,2486.0
2019-03-01,2887.0
2019-04-01,2619.0
2019-05-01,2847.0
2019-06-01,2637.0
2019-07-01,2581.0
2019-08-01,1835.0
2019-09-01,2179.0
2019-10-01,2559.0
2019-11-01,2438.0
2019-12-01,2781.0
2020-01-01,1660.0
2020-02-01,2506.0
2020-03-01,2719.0
2020-04-01,1152.0
2020-05-01,1445.0
2020-06-01,1921.0
2020-07-01,2309.0
2020-08-01,1841.0
2020-09-01,2506.0
2020-10-01,2726.0
2020-11-01,2704.0
2020-12-01,2664.0
2021-01-01,2192.0
2021-02-01,2326.0
2021-03-01,2694.0
2021-04-01,2330.0
2021-05-01,2291.0
2021-06-01,2329.0
2021-07-01,2147.0
2021-08-01,2337.0
2021-09-01,2756.0
2021-10-01,2703.0
2021-11-01,2809.0
2021-12-01,3278.0
2022-01-01,2760.0
2022-02-01,2837.0
2022-03-01,3453.0
2022-04-01,3001.0
2022-05-01,3238.0
2022-06-01,3369.0
2022-07-01,3308.0
2022-08-01,2907.0
2022-09-01,3277.0
2022-10-01,3745.0
2022-11-01,3375.0
2022-12-01,3468.0
2023-01-01,3074.0
2023-02-01,3476.0
2023-03-01,3760.0
2023-04-01,3344.0
2023-05-01,3289.0
2023-06-01,3280.0
2023-07-01,3377.0
2023-08-01,2783.0
2023-09-01,3279.0
2023-10-01,3361.0
2023-11-01,3367.0
2023-12-01,3305.0
2024-01-01,2894.0
2024-02-01,3099.0
2024-03-01,3225.0
2024-04-01,2800.0
2024-05-01,3046.0
2024-06-01,2942.0
2024-07-01,2960.0
2024-08-01,2167.0
2024-09-01,2857.0
2024-10-01,3241.0
2024-11-01,3728.0
2024-12-01,3755.0
2025-01-01,3042.0
2025-02-01,4023.0
2025-03-01,4416.0
2025-04-01,3698.0
2025-05-01,3908.0
2025-06-01,3918.0
2025-07-01,3846.0
2025-08-01,3358.0
2025-09-01,3577.0
