Tarih,TP_UNDNAKLIYE_TIT_BY_ADET
2016-10-01,66.0
2016-11-01,112.0
2016-12-01,92.0
2017-01-01,70.0
2017-02-01,100.0
2017-03-01,123.0
2017-04-01,132.0
2017-05-01,105.0
2017-06-01,111.0
2017-07-01,107.0
2017-08-01,139.0
2017-09-01,120.0
2017-10-01,168.0
2017-11-01,141.0
2017-12-01,138.0
2018-01-01,145.0
2018-02-01,164.0
2018-03-01,202.0
2018-04-01,248.0
2018-05-01,150.0
2018-06-01,155.0
2018-07-01,152.0
2018-08-01,124.0
2018-09-01,89.0
2018-10-01,87.0
2018-11-01,99.0
2018-12-01,120.0
2019-01-01,160.0
2019-02-01,142.0
2019-03-01,176.0
2019-04-01,141.0
2019-05-01,154.0
2019-06-01,105.0
2019-07-01,145.0
2019-08-01,175.0
2019-09-01,154.0
2019-10-01,178.0
2019-11-01,180.0
2019-12-01,246.0
2020-01-01,188.0
2020-02-01,179.0
2020-03-01,183.0
2020-04-01,106.0
2020-05-01,97.0
2020-06-01,112.0
2020-07-01,140.0
2020-08-01,112.0
2020-09-01,141.0
2020-10-01,148.0
2020-11-01,143.0
2020-12-01,283.0
2021-01-01,284.0
2021-02-01,318.0
2021-03-01,380.0
2021-04-01,306.0
2021-05-01,289.0
2021-06-01,208.0
2021-07-01,209.0
2021-08-01,204.0
2021-09-01,372.0
2021-10-01,407.0
2021-11-01,360.0
2021-12-01,615.0
2022-01-01,515.0
2022-02-01,539.0
2022-03-01,206.0
2022-04-01,116.0
2022-05-01,157.0
2022-06-01,99.0
2022-07-01,131.0
2022-08-01,204.0
2022-09-01,153.0
2022-10-01,155.0
2022-11-01,229.0
2022-12-01,304.0
2023-01-01,308.0
2023-02-01,280.0
2023-03-01,118.0
2023-04-01,184.0
2023-05-01,138.0
2023-06-01,159.0
2023-07-01,146.0
2023-08-01,138.0
2023-09-01,155.0
2023-10-01,135.0
2023-11-01,240.0
2023-12-01,203.0
2024-01-01,211.0
2024-02-01,176.0
2024-03-01,181.0
2024-04-01,222.0
2024-05-01,246.0
2024-06-01,255.0
2024-07-01,237.0
2024-08-01,243.0
2024-09-01,283.0
2024-10-01,330.0
2024-11-01,288.0
2024-12-01,302.0
2025-01-01,324.0
2025-02-01,193.0
2025-03-01,222.0
2025-04-01,238.0
2025-05-01,241.0
2025-06-01,210.0
2025-07-01,184.0
2025-08-01,252.0
2025-09-01,225.0
