Tarih,TP_UNDNAKLIYE_TIT_SA_ADET
2016-10-01,114.0
2016-11-01,105.0
2016-12-01,161.0
2017-01-01,122.0
2017-02-01,64.0
2017-03-01,210.0
2017-04-01,168.0
2017-05-01,161.0
2017-06-01,113.0
2017-07-01,146.0
2017-08-01,222.0
2017-09-01,135.0
2017-10-01,171.0
2017-11-01,150.0
2017-12-01,226.0
2018-01-01,189.0
2018-02-01,151.0
2018-03-01,292.0
2018-04-01,188.0
2018-05-01,235.0
2018-06-01,155.0
2018-07-01,167.0
2018-08-01,169.0
2018-09-01,169.0
2018-10-01,159.0
2018-11-01,171.0
2018-12-01,141.0
2019-01-01,84.0
2019-02-01,168.0
2019-03-01,152.0
2019-04-01,222.0
2019-05-01,140.0
2019-06-01,82.0
2019-07-01,144.0
2019-08-01,80.0
2019-09-01,72.0
2019-10-01,65.0
2019-11-01,11.0
2019-12-01,68.0
2020-01-01,77.0
2020-02-01,64.0
2020-03-01,34.0
2020-04-01,0.0
2020-05-01,28.0
2020-06-01,0.0
2020-07-01,1.0
2020-08-01,1.0
2020-09-01,1.0
2020-10-01,3.0
2020-11-01,1.0
2020-12-01,1.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,1.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,1.0
2021-10-01,0.0
2021-11-01,8.0
2021-12-01,1.0
2022-01-01,1.0
2022-02-01,0.0
2022-03-01,1.0
2022-04-01,0.0
2022-05-01,1.0
2022-06-01,0.0
2022-07-01,2.0
2022-08-01,1.0
2022-09-01,0.0
2022-10-01,0.0
2022-11-01,1.0
2022-12-01,0.0
2023-01-01,0.0
2023-02-01,0.0
2023-03-01,0.0
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,1.0
2023-07-01,0.0
2023-08-01,1.0
2023-09-01,1.0
2023-10-01,1.0
2023-11-01,0.0
2023-12-01,1.0
2024-01-01,9.0
2024-02-01,13.0
2024-03-01,18.0
2024-04-01,3.0
2024-05-01,2.0
2024-06-01,1.0
2024-07-01,1.0
2024-08-01,1.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,2.0
2024-12-01,0.0
2025-01-01,2.0
2025-02-01,18.0
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,0.0
2025-07-01,0.0
2025-08-01,0.0
2025-09-01,0.0
