Tarih,TP_UNDNAKLIYE_TIT_IQ_ADET
2016-06-01,1319.0
2016-07-01,848.0
2016-08-01,1638.0
2016-09-01,1376.0
2016-10-01,2309.0
2016-11-01,1689.0
2016-12-01,1184.0
2017-01-01,1212.0
2017-02-01,3878.0
2017-03-01,8909.0
2017-04-01,9677.0
2017-05-01,8769.0
2017-06-01,8445.0
2017-07-01,8827.0
2017-08-01,8627.0
2017-09-01,7885.0
2017-10-01,9135.0
2017-11-01,6992.0
2017-12-01,5667.0
2018-01-01,4449.0
2018-02-01,4622.0
2018-03-01,6639.0
2018-04-01,4967.0
2018-05-01,6149.0
2018-06-01,3342.0
2018-07-01,4091.0
2018-08-01,3027.0
2018-09-01,2790.0
2018-10-01,3178.0
2018-11-01,3973.0
2018-12-01,2364.0
2019-01-01,1403.0
2019-02-01,3085.0
2019-03-01,2881.0
2019-04-01,2797.0
2019-05-01,4902.0
2019-06-01,2519.0
2019-07-01,3539.0
2019-08-01,3105.0
2019-09-01,2682.0
2019-10-01,3000.0
2019-11-01,3393.0
2019-12-01,3872.0
2020-01-01,3960.0
2020-02-01,5521.0
2020-03-01,1071.0
2020-04-01,226.0
2020-05-01,1004.0
2020-06-01,1434.0
2020-07-01,2349.0
2020-08-01,2876.0
2020-09-01,3602.0
2020-10-01,4589.0
2020-11-01,4158.0
2020-12-01,3880.0
2021-01-01,2235.0
2021-02-01,4502.0
2021-03-01,3834.0
2021-04-01,3677.0
2021-05-01,3917.0
2021-06-01,7171.0
2021-07-01,5190.0
2021-08-01,7209.0
2021-09-01,7532.0
2021-10-01,7981.0
2021-11-01,7312.0
2021-12-01,5654.0
2022-01-01,4765.0
2022-02-01,7320.0
2022-03-01,9913.0
2022-04-01,9100.0
2022-05-01,7581.0
2022-06-01,7609.0
2022-07-01,8145.0
2022-08-01,10521.0
2022-09-01,8148.0
2022-10-01,8902.0
2022-11-01,9049.0
2022-12-01,7923.0
2023-01-01,5739.0
2023-02-01,5129.0
2023-03-01,8381.0
2023-04-01,7178.0
2023-05-01,11789.0
2023-06-01,11676.0
2023-07-01,11301.0
2023-08-01,12308.0
2023-09-01,12263.0
2023-10-01,13559.0
2023-11-01,12724.0
2023-12-01,12364.0
2024-01-01,11317.0
2024-02-01,12709.0
2024-03-01,13120.0
2024-04-01,13733.0
2024-05-01,15045.0
2024-06-01,14260.0
2024-07-01,18255.0
2024-08-01,17537.0
2024-09-01,14251.0
2024-10-01,17608.0
2024-11-01,17257.0
2024-12-01,16851.0
2025-01-01,19027.0
2025-02-01,18186.0
2025-03-01,21322.0
2025-04-01,20275.0
2025-05-01,20185.0
2025-06-01,22964.0
2025-07-01,24073.0
2025-08-01,19996.0
2025-09-01,20426.0
