Tarih,TP_UNDNAKLIYE_TIT_RU_ADET
2016-10-01,31.0
2016-11-01,31.0
2016-12-01,34.0
2017-01-01,48.0
2017-02-01,54.0
2017-03-01,81.0
2017-04-01,111.0
2017-05-01,115.0
2017-06-01,170.0
2017-07-01,242.0
2017-08-01,357.0
2017-09-01,395.0
2017-10-01,399.0
2017-11-01,457.0
2017-12-01,483.0
2018-01-01,371.0
2018-02-01,486.0
2018-03-01,508.0
2018-04-01,455.0
2018-05-01,558.0
2018-06-01,531.0
2018-07-01,459.0
2018-08-01,435.0
2018-09-01,433.0
2018-10-01,548.0
2018-11-01,675.0
2018-12-01,371.0
2019-01-01,453.0
2019-02-01,474.0
2019-03-01,536.0
2019-04-01,481.0
2019-05-01,498.0
2019-06-01,390.0
2019-07-01,436.0
2019-08-01,409.0
2019-09-01,474.0
2019-10-01,600.0
2019-11-01,483.0
2019-12-01,651.0
2020-01-01,402.0
2020-02-01,601.0
2020-03-01,649.0
2020-04-01,558.0
2020-05-01,428.0
2020-06-01,446.0
2020-07-01,696.0
2020-08-01,610.0
2020-09-01,726.0
2020-10-01,817.0
2020-11-01,788.0
2020-12-01,1001.0
2021-01-01,761.0
2021-02-01,772.0
2021-03-01,911.0
2021-04-01,936.0
2021-05-01,981.0
2021-06-01,1014.0
2021-07-01,835.0
2021-08-01,917.0
2021-09-01,1096.0
2021-10-01,1120.0
2021-11-01,1317.0
2021-12-01,1050.0
2022-01-01,1156.0
2022-02-01,1096.0
2022-03-01,382.0
2022-04-01,790.0
2022-05-01,868.0
2022-06-01,1168.0
2022-07-01,1606.0
2022-08-01,1657.0
2022-09-01,1770.0
2022-10-01,2077.0
2022-11-01,1543.0
2022-12-01,1723.0
2023-01-01,1949.0
2023-02-01,1965.0
2023-03-01,2185.0
2023-04-01,2586.0
2023-05-01,2782.0
2023-06-01,3121.0
2023-07-01,2818.0
2023-08-01,2605.0
2023-09-01,2817.0
2023-10-01,3128.0
2023-11-01,2558.0
2023-12-01,3013.0
2024-01-01,2743.0
2024-02-01,2800.0
2024-03-01,2498.0
2024-04-01,2863.0
2024-05-01,2745.0
2024-06-01,2793.0
2024-07-01,2644.0
2024-08-01,3231.0
2024-09-01,2952.0
2024-10-01,2816.0
2024-11-01,2392.0
2024-12-01,2726.0
2025-01-01,2803.0
2025-02-01,1927.0
2025-03-01,2923.0
2025-04-01,2355.0
2025-05-01,2970.0
2025-06-01,2486.0
2025-07-01,1970.0
2025-08-01,2520.0
2025-09-01,2260.0
