Tarih,TP_UNDNAKLIYE_TIT_IT_ADET
2016-05-01,5049.0
2016-06-01,4345.0
2016-07-01,3812.0
2016-08-01,4310.0
2016-09-01,4375.0
2016-10-01,5332.0
2016-11-01,5037.0
2016-12-01,5796.0
2017-01-01,4441.0
2017-02-01,4933.0
2017-03-01,5614.0
2017-04-01,5286.0
2017-05-01,5661.0
2017-06-01,5349.0
2017-07-01,5955.0
2017-08-01,4674.0
2017-09-01,4759.0
2017-10-01,6023.0
2017-11-01,4933.0
2017-12-01,5289.0
2018-01-01,3808.0
2018-02-01,4771.0
2018-03-01,5490.0
2018-04-01,4779.0
2018-05-01,4981.0
2018-06-01,4818.0
2018-07-01,6011.0
2018-08-01,3976.0
2018-09-01,4983.0
2018-10-01,5637.0
2018-11-01,5223.0
2018-12-01,5183.0
2019-01-01,3773.0
2019-02-01,4786.0
2019-03-01,5349.0
2019-04-01,4622.0
2019-05-01,4665.0
2019-06-01,3939.0
2019-07-01,4369.0
2019-08-01,2850.0
2019-09-01,3678.0
2019-10-01,4088.0
2019-11-01,3993.0
2019-12-01,4012.0
2020-01-01,2338.0
2020-02-01,4114.0
2020-03-01,4598.0
2020-04-01,2452.0
2020-05-01,2893.0
2020-06-01,3462.0
2020-07-01,4168.0
2020-08-01,3019.0
2020-09-01,3968.0
2020-10-01,4027.0
2020-11-01,3955.0
2020-12-01,4054.0
2021-01-01,2978.0
2021-02-01,3819.0
2021-03-01,4461.0
2021-04-01,4438.0
2021-05-01,5012.0
2021-06-01,5394.0
2021-07-01,4697.0
2021-08-01,4205.0
2021-09-01,4750.0
2021-10-01,4930.0
2021-11-01,5380.0
2021-12-01,5390.0
2022-01-01,4285.0
2022-02-01,5013.0
2022-03-01,5609.0
2022-04-01,4794.0
2022-05-01,5516.0
2022-06-01,5124.0
2022-07-01,4860.0
2022-08-01,4121.0
2022-09-01,5065.0
2022-10-01,5239.0
2022-11-01,5166.0
2022-12-01,5428.0
2023-01-01,4276.0
2023-02-01,4721.0
2023-03-01,5463.0
2023-04-01,4897.0
2023-05-01,5253.0
2023-06-01,4823.0
2023-07-01,4802.0
2023-08-01,3645.0
2023-09-01,4674.0
2023-10-01,5435.0
2023-11-01,4843.0
2023-12-01,5126.0
2024-01-01,4021.0
2024-02-01,4892.0
2024-03-01,5517.0
2024-04-01,4549.0
2024-05-01,4994.0
2024-06-01,4468.0
2024-07-01,4832.0
2024-08-01,3326.0
2024-09-01,4573.0
2024-10-01,5048.0
2024-11-01,6053.0
2024-12-01,7739.0
2025-01-01,5775.0
2025-02-01,7277.0
2025-03-01,8138.0
2025-04-01,7197.0
2025-05-01,7691.0
2025-06-01,6941.0
2025-07-01,7979.0
2025-08-01,6293.0
2025-09-01,7685.0
