Tarih,TP_UNDNAKLIYE_TIT_BE_ADET
2016-10-01,556.0
2016-11-01,535.0
2016-12-01,602.0
2017-01-01,421.0
2017-02-01,480.0
2017-03-01,490.0
2017-04-01,501.0
2017-05-01,568.0
2017-06-01,499.0
2017-07-01,483.0
2017-08-01,479.0
2017-09-01,517.0
2017-10-01,646.0
2017-11-01,701.0
2017-12-01,761.0
2018-01-01,756.0
2018-02-01,662.0
2018-03-01,676.0
2018-04-01,611.0
2018-05-01,655.0
2018-06-01,708.0
2018-07-01,612.0
2018-08-01,545.0
2018-09-01,511.0
2018-10-01,530.0
2018-11-01,460.0
2018-12-01,598.0
2019-01-01,470.0
2019-02-01,482.0
2019-03-01,572.0
2019-04-01,521.0
2019-05-01,636.0
2019-06-01,566.0
2019-07-01,767.0
2019-08-01,692.0
2019-09-01,692.0
2019-10-01,705.0
2019-11-01,683.0
2019-12-01,783.0
2020-01-01,628.0
2020-02-01,762.0
2020-03-01,683.0
2020-04-01,398.0
2020-05-01,440.0
2020-06-01,563.0
2020-07-01,653.0
2020-08-01,600.0
2020-09-01,756.0
2020-10-01,843.0
2020-11-01,867.0
2020-12-01,869.0
2021-01-01,812.0
2021-02-01,894.0
2021-03-01,957.0
2021-04-01,847.0
2021-05-01,776.0
2021-06-01,888.0
2021-07-01,930.0
2021-08-01,810.0
2021-09-01,873.0
2021-10-01,970.0
2021-11-01,872.0
2021-12-01,921.0
2022-01-01,951.0
2022-02-01,877.0
2022-03-01,1052.0
2022-04-01,966.0
2022-05-01,907.0
2022-06-01,895.0
2022-07-01,969.0
2022-08-01,849.0
2022-09-01,897.0
2022-10-01,941.0
2022-11-01,876.0
2022-12-01,864.0
2023-01-01,866.0
2023-02-01,783.0
2023-03-01,895.0
2023-04-01,888.0
2023-05-01,806.0
2023-06-01,849.0
2023-07-01,774.0
2023-08-01,868.0
2023-09-01,635.0
2023-10-01,655.0
2023-11-01,599.0
2023-12-01,660.0
2024-01-01,655.0
2024-02-01,567.0
2024-03-01,642.0
2024-04-01,544.0
2024-05-01,396.0
2024-06-01,529.0
2024-07-01,666.0
2024-08-01,613.0
2024-09-01,604.0
2024-10-01,627.0
2024-11-01,384.0
2024-12-01,160.0
2025-01-01,180.0
2025-02-01,201.0
2025-03-01,198.0
2025-04-01,249.0
2025-05-01,294.0
2025-06-01,277.0
2025-07-01,242.0
2025-08-01,277.0
2025-09-01,303.0
