Tarih,TP_UNDNAKLIYE_TIT_NL_ADET
2016-10-01,808.0
2016-11-01,878.0
2016-12-01,755.0
2017-01-01,660.0
2017-02-01,659.0
2017-03-01,765.0
2017-04-01,805.0
2017-05-01,749.0
2017-06-01,787.0
2017-07-01,745.0
2017-08-01,725.0
2017-09-01,696.0
2017-10-01,937.0
2017-11-01,869.0
2017-12-01,895.0
2018-01-01,816.0
2018-02-01,809.0
2018-03-01,882.0
2018-04-01,891.0
2018-05-01,815.0
2018-06-01,827.0
2018-07-01,737.0
2018-08-01,639.0
2018-09-01,652.0
2018-10-01,735.0
2018-11-01,730.0
2018-12-01,695.0
2019-01-01,639.0
2019-02-01,700.0
2019-03-01,765.0
2019-04-01,832.0
2019-05-01,878.0
2019-06-01,695.0
2019-07-01,903.0
2019-08-01,880.0
2019-09-01,831.0
2019-10-01,978.0
2019-11-01,930.0
2019-12-01,1023.0
2020-01-01,842.0
2020-02-01,1106.0
2020-03-01,1017.0
2020-04-01,612.0
2020-05-01,751.0
2020-06-01,848.0
2020-07-01,834.0
2020-08-01,935.0
2020-09-01,1012.0
2020-10-01,1054.0
2020-11-01,1218.0
2020-12-01,1093.0
2021-01-01,1055.0
2021-02-01,1202.0
2021-03-01,1212.0
2021-04-01,1212.0
2021-05-01,1027.0
2021-06-01,1148.0
2021-07-01,1160.0
2021-08-01,1147.0
2021-09-01,1240.0
2021-10-01,1237.0
2021-11-01,1370.0
2021-12-01,1265.0
2022-01-01,1258.0
2022-02-01,1170.0
2022-03-01,1479.0
2022-04-01,1379.0
2022-05-01,1381.0
2022-06-01,1471.0
2022-07-01,1334.0
2022-08-01,1384.0
2022-09-01,1564.0
2022-10-01,1589.0
2022-11-01,1466.0
2022-12-01,1545.0
2023-01-01,1418.0
2023-02-01,1361.0
2023-03-01,1544.0
2023-04-01,1516.0
2023-05-01,1446.0
2023-06-01,1449.0
2023-07-01,1361.0
2023-08-01,1302.0
2023-09-01,1089.0
2023-10-01,1134.0
2023-11-01,1059.0
2023-12-01,1183.0
2024-01-01,1034.0
2024-02-01,982.0
2024-03-01,1062.0
2024-04-01,974.0
2024-05-01,1076.0
2024-06-01,1146.0
2024-07-01,1097.0
2024-08-01,1037.0
2024-09-01,1016.0
2024-10-01,1037.0
2024-11-01,909.0
2024-12-01,566.0
2025-01-01,608.0
2025-02-01,694.0
2025-03-01,716.0
2025-04-01,777.0
2025-05-01,883.0
2025-06-01,668.0
2025-07-01,662.0
2025-08-01,712.0
2025-09-01,761.0
