Tarih,TP_KALANVADE_K10
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,10596.0
2011-08-01,11112.0
2011-09-01,9531.0
2011-10-01,9195.9
2011-11-01,8823.0
2011-12-01,8392.0
2012-01-01,9621.0
2012-02-01,9578.0
2012-03-01,9188.0
2012-04-01,9746.0
2012-05-01,10666.0
2012-06-01,10637.0
2012-07-01,10803.0
2012-08-01,11117.0
2012-09-01,11571.0
2012-10-01,11167.0
2012-11-01,11271.0
2012-12-01,11648.0
2013-01-01,13210.0
2013-02-01,10294.0
2013-03-01,12442.0
2013-04-01,12781.0
2013-05-01,11446.0
2013-06-01,13092.0
2013-07-01,12098.0
2013-08-01,10656.0
2013-09-01,9958.0
2013-10-01,11031.0
2013-11-01,11810.0
2013-12-01,11055.0
2014-01-01,10167.0
2014-02-01,10191.0
2014-03-01,10105.0
2014-04-01,10727.0
2014-05-01,10854.0
2014-06-01,12458.0
2014-07-01,12447.0
2014-08-01,11680.0
2014-09-01,12878.0
2014-10-01,11908.0
2014-11-01,13376.0
2014-12-01,13405.0
2015-01-01,13825.0
2015-02-01,12251.0
2015-03-01,12676.0
2015-04-01,12725.0
2015-05-01,12583.0
2015-06-01,13666.0
2015-07-01,14247.0
2015-08-01,14199.0
2015-09-01,14301.0
2015-10-01,15284.0
2015-11-01,15470.0
2015-12-01,9611.0
2016-01-01,11241.0
2016-02-01,13375.0
2016-03-01,14104.0
