Tarih,TP_KALANVADE_K12
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,56328.0
2011-08-01,57750.0
2011-09-01,58808.0
2011-10-01,59178.0
2011-11-01,58103.0
2011-12-01,58876.0
2012-01-01,59475.0
2012-02-01,59640.0
2012-03-01,59364.0
2012-04-01,60995.0
2012-05-01,61726.0
2012-06-01,62980.0
2012-07-01,61394.0
2012-08-01,61225.0
2012-09-01,61754.96
2012-10-01,60181.0
2012-11-01,60910.0
2012-12-01,60528.0
2013-01-01,62182.0
2013-02-01,62289.0
2013-03-01,62002.0
2013-04-01,64657.0
2013-05-01,65689.0
2013-06-01,64308.0
2013-07-01,63317.0
2013-08-01,61917.0
2013-09-01,60394.0
2013-10-01,60761.0
2013-11-01,60928.0
2013-12-01,60656.0
2014-01-01,59002.0
2014-02-01,59216.0
2014-03-01,58203.0
2014-04-01,57736.0
2014-05-01,57509.0
2014-06-01,56088.0
2014-07-01,55383.0
2014-08-01,55264.0
2014-09-01,53725.0
2014-10-01,53425.0
2014-11-01,55457.0
2014-12-01,53042.0
2015-01-01,51781.0
2015-02-01,51485.0
2015-03-01,50714.0
2015-04-01,51039.0
2015-05-01,51824.0
2015-06-01,53814.0
2015-07-01,55324.0
2015-08-01,55815.0
2015-09-01,56387.0
2015-10-01,57233.0
2015-11-01,56934.0
2015-12-01,59468.0
2016-01-01,59252.0
2016-02-01,59319.0
2016-03-01,61397.0
