Tarih,TP_ODEROLL_K1
2015-04-01,103.91
2015-05-01,103.55
2015-06-01,102.1
2015-07-01,102.09
2015-08-01,104.43
2015-09-01,102.59
2015-10-01,102.98
2015-11-01,100.81
2015-12-01,101.63
2016-01-01,100.26
2016-02-01,100.94
2016-03-01,99.5
2016-04-01,98.65
2016-05-01,99.04
2016-06-01,100.03
2016-07-01,99.86
2016-08-01,98.11
2016-09-01,98.53
2016-10-01,99.02
2016-11-01,98.69
2016-12-01,95.44
2017-01-01,95.32
2017-02-01,96.19
2017-03-01,96.88
2017-04-01,96.21
2017-05-01,95.98
2017-06-01,98.75
2017-07-01,97.41
2017-08-01,97.79
2017-09-01,99.0
2017-10-01,100.84
2017-11-01,101.44
2017-12-01,102.1
2018-01-01,102.78
2018-02-01,103.25
2018-03-01,101.35
2018-04-01,100.84
2018-05-01,100.76
2018-06-01,99.4
2018-07-01,98.87
2018-08-01,96.31
2018-09-01,93.26
2018-10-01,90.4
2018-11-01,87.53
2018-12-01,84.91
2019-01-01,83.51
2019-02-01,86.2
2019-03-01,91.6
2019-04-01,92.1
2019-05-01,93.68
2019-06-01,94.51
2019-07-01,95.3
2019-08-01,93.67
2019-09-01,92.99
2019-10-01,91.72
2019-11-01,92.54
2019-12-01,93.86
2020-01-01,92.87
2020-02-01,94.26
2020-03-01,93.93
2020-04-01,96.45
2020-05-01,96.2
2020-06-01,96.3
2020-07-01,99.2
2020-08-01,99.28
2020-09-01,101.12
2020-10-01,98.83
2020-11-01,98.31
2020-12-01,100.83
2021-01-01,100.17
2021-02-01,99.48
2021-03-01,99.82
2021-04-01,101.69
2021-05-01,101.91
2021-06-01,99.01
2021-07-01,98.7
2021-08-01,98.55
2021-09-01,96.64
2021-10-01,96.12
2021-11-01,96.4
2021-12-01,96.07
2022-01-01,95.94
2022-02-01,95.82
2022-03-01,96.87
2022-04-01,98.32
2022-05-01,98.45
2022-06-01,97.65
2022-07-01,97.0
2022-08-01,97.82
2022-09-01,97.58
2022-10-01,96.47
2022-11-01,95.08
2022-12-01,95.82
2023-01-01,95.89
2023-02-01,97.43
2023-03-01,97.74
2023-04-01,98.69
2023-05-01,101.38
2023-06-01,101.13
2023-07-01,101.48
2023-08-01,101.79
2023-09-01,103.96
2023-10-01,104.28
2023-11-01,108.51
2023-12-01,108.74
2024-01-01,111.46
2024-02-01,110.73
2024-03-01,110.21
2024-04-01,109.89
2024-05-01,108.09
2024-06-01,115.29
2024-07-01,116.14
2024-08-01,114.72
2024-09-01,116.95
2024-10-01,121.55
2024-11-01,118.53
2024-12-01,117.5
2025-01-01,124.66
2025-02-01,126.76
2025-03-01,127.84
2025-04-01,113.75
2025-05-01,114.52
2025-06-01,111.46
2025-07-01,104.87
2025-08-01,108.04
