Tarih,TP_ODEROLL_K2
2015-04-01,110.73
2015-05-01,110.17
2015-06-01,117.04
2015-07-01,115.15
2015-08-01,118.25
2015-09-01,126.87
2015-10-01,131.55
2015-11-01,130.0
2015-12-01,124.99
2016-01-01,129.0
2016-02-01,128.38
2016-03-01,130.88
2016-04-01,130.73
2016-05-01,133.18
2016-06-01,141.86
2016-07-01,137.86
2016-08-01,136.25
2016-09-01,129.9
2016-10-01,131.77
2016-11-01,125.24
2016-12-01,105.37
2017-01-01,105.81
2017-02-01,104.78
2017-03-01,95.43
2017-04-01,94.45
2017-05-01,93.76
2017-06-01,99.44
2017-07-01,102.96
2017-08-01,103.21
2017-09-01,106.59
2017-10-01,107.21
2017-11-01,110.63
2017-12-01,116.61
2018-01-01,118.14
2018-02-01,128.66
2018-03-01,130.27
2018-04-01,130.76
2018-05-01,136.48
2018-06-01,131.27
2018-07-01,132.52
2018-08-01,119.72
2018-09-01,123.5
2018-10-01,118.42
2018-11-01,110.53
2018-12-01,112.19
2019-01-01,101.61
2019-02-01,96.9
2019-03-01,100.67
2019-04-01,102.13
2019-05-01,98.54
2019-06-01,86.51
2019-07-01,90.36
2019-08-01,94.01
2019-09-01,94.44
2019-10-01,88.44
2019-11-01,88.68
2019-12-01,78.62
2020-01-01,74.85
2020-02-01,73.14
2020-03-01,65.29
2020-04-01,67.06
2020-05-01,61.46
2020-06-01,72.7
2020-07-01,70.55
2020-08-01,68.65
2020-09-01,62.73
2020-10-01,69.2
2020-11-01,75.05
2020-12-01,88.34
2021-01-01,96.64
2021-02-01,105.96
2021-03-01,115.04
2021-04-01,109.21
2021-05-01,135.68
2021-06-01,128.94
2021-07-01,123.94
2021-08-01,126.6
2021-09-01,129.99
2021-10-01,130.43
2021-11-01,99.2
2021-12-01,131.87
2022-01-01,142.46
2022-02-01,144.89
2022-03-01,152.4
2022-04-01,152.62
2022-05-01,148.84
2022-06-01,128.02
2022-07-01,172.45
2022-08-01,197.67
2022-09-01,184.91
2022-10-01,184.29
2022-11-01,183.56
2022-12-01,164.22
2023-01-01,126.61
2023-02-01,104.42
2023-03-01,97.22
2023-04-01,96.43
2023-05-01,97.14
2023-06-01,97.0
2023-07-01,106.69
2023-08-01,96.32
2023-09-01,104.03
2023-10-01,102.27
2023-11-01,100.73
2023-12-01,111.41
2024-01-01,88.27
2024-02-01,96.83
2024-03-01,94.67
2024-04-01,99.32
2024-05-01,105.77
2024-06-01,94.62
2024-07-01,107.83
2024-08-01,111.29
2024-09-01,122.03
2024-10-01,119.32
2024-11-01,113.68
2024-12-01,124.18
2025-01-01,130.74
2025-02-01,132.37
2025-03-01,129.39
2025-04-01,138.11
2025-05-01,147.99
2025-06-01,140.21
2025-07-01,142.1
2025-08-01,143.74
