Tarih,TP_YKFE_TR
2016-04-01,8.44
2016-05-01,8.5
2016-06-01,8.61
2016-07-01,8.61
2016-08-01,8.71
2016-09-01,8.76
2016-10-01,8.84
2016-11-01,8.93
2016-12-01,9.03
2017-01-01,9.02
2017-02-01,9.26
2017-03-01,9.37
2017-04-01,9.4
2017-05-01,9.44
2017-06-01,9.46
2017-07-01,9.55
2017-08-01,9.49
2017-09-01,9.73
2017-10-01,9.79
2017-11-01,9.89
2017-12-01,9.87
2018-01-01,9.91
2018-02-01,10.09
2018-03-01,10.21
2018-04-01,10.21
2018-05-01,10.41
2018-06-01,10.5
2018-07-01,10.47
2018-08-01,10.46
2018-09-01,10.51
2018-10-01,10.43
2018-11-01,10.63
2018-12-01,10.7
2019-01-01,10.81
2019-02-01,10.64
2019-03-01,10.57
2019-04-01,10.71
2019-05-01,10.81
2019-06-01,10.75
2019-07-01,10.88
2019-08-01,11.24
2019-09-01,11.34
2019-10-01,11.5
2019-11-01,11.7
2019-12-01,11.87
2020-01-01,12.29
2020-02-01,12.53
2020-03-01,12.84
2020-04-01,12.58
2020-05-01,13.02
2020-06-01,13.95
2020-07-01,14.47
2020-08-01,14.53
2020-09-01,14.73
2020-10-01,15.15
2020-11-01,15.68
2020-12-01,15.8
2021-01-01,15.87
2021-02-01,16.6
2021-03-01,17.24
2021-04-01,17.76
2021-05-01,18.13
2021-06-01,18.88
2021-07-01,19.53
2021-08-01,20.36
2021-09-01,20.99
2021-10-01,21.94
2021-11-01,23.44
2021-12-01,26.94
2022-01-01,30.01
2022-02-01,32.24
2022-03-01,35.05
2022-04-01,38.92
2022-05-01,44.83
2022-06-01,48.78
2022-07-01,51.84
2022-08-01,54.59
2022-09-01,57.57
2022-10-01,59.92
2022-11-01,62.61
2022-12-01,64.86
2023-01-01,73.28
2023-02-01,76.52
2023-03-01,84.58
2023-04-01,87.98
2023-05-01,90.68
2023-06-01,94.76
2023-07-01,101.15
2023-08-01,109.21
2023-09-01,116.93
2023-10-01,120.16
2023-11-01,120.66
2023-12-01,124.09
2024-01-01,125.32
2024-02-01,127.77
2024-03-01,131.21
2024-04-01,133.47
2024-05-01,138.43
2024-06-01,140.41
2024-07-01,139.86
2024-08-01,148.32
2024-09-01,147.44
2024-10-01,151.9
2024-11-01,157.99
2024-12-01,159.52
2025-01-01,167.39
2025-02-01,170.56
2025-03-01,175.08
2025-04-01,176.55
2025-05-01,183.18
2025-06-01,186.0
2025-07-01,188.07
2025-08-01,194.12
2025-09-01,198.83
