Tarih,TP_DT_IH_FIY_D06_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,112.5652086652
2013-02-01,111.0147956558
2013-03-01,117.3849044922
2013-04-01,114.2386737503
2013-05-01,112.9558588266
2013-06-01,111.0192098062
2013-07-01,110.7652049501
2013-08-01,108.9838151755
2013-09-01,111.8573185159
2013-10-01,109.5830248749
2013-11-01,107.9358200794
2013-12-01,114.0585459038
2014-01-01,113.3993125521
2014-02-01,109.1353667688
2014-03-01,109.5455048925
2014-04-01,109.983680082
2014-05-01,109.6779256678
2014-06-01,109.7591635515
2014-07-01,114.1106635819
2014-08-01,112.3953995296
2014-09-01,107.589703205
2014-10-01,110.6799648484
2014-11-01,107.9243187316
2014-12-01,106.0559992479
2015-01-01,107.2014186436
2015-02-01,101.6455884681
2015-03-01,99.3101915447
2015-04-01,101.2243436134
2015-05-01,105.0631013243
2015-06-01,101.4526822812
2015-07-01,100.2612597144
2015-08-01,100.0249049707
2015-09-01,100.2060967815
2015-10-01,96.9343720568
2015-11-01,92.1384569254
2015-12-01,94.5375836761
2016-01-01,91.5661652696
2016-02-01,92.7379175374
