Tarih,TP_DT_IH_FIY_D15_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,120.4380478481
2013-02-01,117.8513417624
2013-03-01,113.9573675371
2013-04-01,111.3324627241
2013-05-01,113.8125493146
2013-06-01,118.6023625338
2013-07-01,115.9718009804
2013-08-01,114.2027264115
2013-09-01,106.7786270195
2013-10-01,109.4327349135
2013-11-01,110.5398568725
2013-12-01,117.5026340311
2014-01-01,121.0237353723
2014-02-01,117.80556404
2014-03-01,114.5123484804
2014-04-01,111.8236890007
2014-05-01,115.6700837316
2014-06-01,118.4481900306
2014-07-01,120.9674211152
2014-08-01,112.0433112655
2014-09-01,104.462375582
2014-10-01,105.382902966
2014-11-01,107.2059476482
2014-12-01,112.6510145298
2015-01-01,109.2700867491
2015-02-01,106.8481714034
2015-03-01,100.8493335175
2015-04-01,99.4760610227
2015-05-01,100.6902801873
2015-06-01,101.503547866
2015-07-01,103.2165035836
2015-08-01,97.7666126007
2015-09-01,96.1443684991
2015-10-01,93.2769514239
2015-11-01,91.953723731
2015-12-01,99.0043594156
2016-01-01,100.4733054185
2016-02-01,100.0287020942
