Tarih,TP_DT_IH_FIY_D08_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,106.9094139165
2013-02-01,106.4029107952
2013-03-01,108.9977077146
2013-04-01,108.826729837
2013-05-01,108.1726499346
2013-06-01,106.9833086495
2013-07-01,110.7682085209
2013-08-01,109.6684764077
2013-09-01,109.6125689529
2013-10-01,109.8022164163
2013-11-01,112.5159509952
2013-12-01,112.7064358785
2014-01-01,113.7386771485
2014-02-01,109.9173486447
2014-03-01,107.0973993178
2014-04-01,113.2873939924
2014-05-01,114.9740288554
2014-06-01,112.9961621907
2014-07-01,115.1452425106
2014-08-01,112.033522581
2014-09-01,111.4296139663
2014-10-01,110.7804252291
2014-11-01,107.8878709338
2014-12-01,109.103327473
2015-01-01,101.8465033848
2015-02-01,104.193105003
2015-03-01,100.4290125562
2015-04-01,97.941422693
2015-05-01,98.8006337864
2015-06-01,101.9529530383
2015-07-01,100.980554353
2015-08-01,99.1045959286
2015-09-01,101.2742167341
2015-10-01,99.2981920297
2015-11-01,95.8706509013
2015-12-01,98.3081595917
2016-01-01,97.8873232331
2016-02-01,99.6216432352
