Tarih,TP_DT_IH_FIY_D16_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,122.7077869514
2013-02-01,118.4654951791
2013-03-01,115.5104756951
2013-04-01,114.7194153222
2013-05-01,116.299054162
2013-06-01,117.80753759
2013-07-01,114.5484287436
2013-08-01,113.1234200176
2013-09-01,109.6915481589
2013-10-01,112.5986599629
2013-11-01,112.3076914073
2013-12-01,118.9758266217
2014-01-01,118.93520427
2014-02-01,117.3121213851
2014-03-01,113.1657443509
2014-04-01,113.787876401
2014-05-01,113.7142418347
2014-06-01,116.2132625276
2014-07-01,118.9970001015
2014-08-01,111.9359279568
2014-09-01,106.3280768651
2014-10-01,111.2248176487
2014-11-01,111.242746599
2014-12-01,113.9587298031
2015-01-01,111.0134889602
2015-02-01,108.2166339031
2015-03-01,103.6705061701
2015-04-01,99.9832573589
2015-05-01,102.2595181028
2015-06-01,101.1500060473
2015-07-01,100.2088020244
2015-08-01,94.9727947291
2015-09-01,94.2929574887
2015-10-01,94.7295156966
2015-11-01,92.9852148834
2015-12-01,96.5173046353
2016-01-01,97.3471987685
2016-02-01,96.6834669424
