Tarih,TP_DT_IH_FIY_D14_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,117.8965460552
2013-02-01,117.4934536316
2013-03-01,114.9089951782
2013-04-01,114.8083555501
2013-05-01,114.7562500455
2013-06-01,113.9542759934
2013-07-01,111.6745131028
2013-08-01,112.1162245426
2013-09-01,110.8648352099
2013-10-01,110.3626573995
2013-11-01,108.5806034185
2013-12-01,109.3205610216
2014-01-01,108.7062384825
2014-02-01,108.908148481
2014-03-01,109.6758745971
2014-04-01,110.2026278766
2014-05-01,111.2915657614
2014-06-01,111.8420761253
2014-07-01,109.897585031
2014-08-01,108.8940391669
2014-09-01,109.2118099641
2014-10-01,107.257456257
2014-11-01,106.2822605996
2014-12-01,107.2128496056
2015-01-01,106.1458775838
2015-02-01,103.8771298013
2015-03-01,100.4385119988
2015-04-01,100.0990240312
2015-05-01,101.4954584833
2015-06-01,101.4105766208
2015-07-01,99.9379267731
2015-08-01,98.4674503648
2015-09-01,97.2706837396
2015-10-01,98.2773075033
2015-11-01,95.6505659368
2015-12-01,96.9294871633
2016-01-01,94.7329028887
2016-02-01,96.6695835292
