Tarih,TP_DT_IH_FIY_D03_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,110.4300735538
2013-02-01,110.1791034594
2013-03-01,107.7215792912
2013-04-01,108.9064713925
2013-05-01,110.0368431096
2013-06-01,111.3380280602
2013-07-01,111.0766307839
2013-08-01,111.8279241239
2013-09-01,110.411405605
2013-10-01,110.9931619395
2013-11-01,111.2589340998
2013-12-01,111.1644435838
2014-01-01,112.7052762619
2014-02-01,111.0677714685
2014-03-01,110.7682790043
2014-04-01,112.7950811408
2014-05-01,112.069452143
2014-06-01,113.0188483091
2014-07-01,114.9523689154
2014-08-01,111.0508148716
2014-09-01,108.2674995344
2014-10-01,108.4441525398
2014-11-01,106.2251571173
2014-12-01,104.725745736
2015-01-01,104.0792052825
2015-02-01,100.7254144603
2015-03-01,99.5650141967
2015-04-01,97.425130545
2015-05-01,101.7896677117
2015-06-01,101.1045570376
2015-07-01,101.2386867203
2015-08-01,98.2681869672
2015-09-01,99.8724207252
2015-10-01,99.1992061153
2015-11-01,96.3788589787
2015-12-01,100.3536512595
2016-01-01,97.1191176443
2016-02-01,97.4636888769
