Tarih,TP_DT_IH_FIY_D13_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,113.6176208179
2013-02-01,117.4383512188
2013-03-01,113.3806572033
2013-04-01,112.5455821491
2013-05-01,111.9562095201
2013-06-01,114.750839182
2013-07-01,114.4750262958
2013-08-01,118.8139351603
2013-09-01,120.6355914323
2013-10-01,119.1650764405
2013-11-01,117.5665741379
2013-12-01,120.3157993751
2014-01-01,119.6954357189
2014-02-01,117.8699498931
2014-03-01,122.91284328
2014-04-01,120.8070553044
2014-05-01,119.8494942403
2014-06-01,119.773631265
2014-07-01,119.7104084605
2014-08-01,115.3303430556
2014-09-01,111.8639561811
2014-10-01,108.3620082594
2014-11-01,108.5831671737
2014-12-01,106.6294454224
2015-01-01,101.3696083953
2015-02-01,99.7661386519
2015-03-01,96.7641060977
2015-04-01,98.6677528474
2015-05-01,105.9330286044
2015-06-01,102.0642231515
2015-07-01,100.8616544738
2015-08-01,99.3284650622
2015-09-01,97.9784673207
2015-10-01,98.3139278729
2015-11-01,98.7473365863
2015-12-01,100.2052909359
2016-01-01,103.7352955717
2016-02-01,100.3729165169
