Tarih,TP_DT_IH_FIY_D10_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,131.2261093841
2013-02-01,134.8474481266
2013-03-01,136.2829127895
2013-04-01,130.0913584907
2013-05-01,126.9022220878
2013-06-01,124.3724985549
2013-07-01,118.7097900492
2013-08-01,115.863912428
2013-09-01,113.8320206408
2013-10-01,112.8043688417
2013-11-01,114.6098478041
2013-12-01,116.7422897628
2014-01-01,120.3409061907
2014-02-01,120.4319034319
2014-03-01,119.9816657283
2014-04-01,120.5485356599
2014-05-01,119.9420600596
2014-06-01,118.0562499523
2014-07-01,115.6799966952
2014-08-01,114.8886832098
2014-09-01,114.9619112629
2014-10-01,113.3508205938
2014-11-01,112.5012473026
2014-12-01,111.0695527868
2015-01-01,111.0548486456
2015-02-01,110.1146276578
2015-03-01,105.7200945218
2015-04-01,105.4060620895
2015-05-01,100.4288605146
2015-06-01,100.6919890899
2015-07-01,98.1001008316
2015-08-01,96.7238008819
2015-09-01,94.1037422472
2015-10-01,92.379583691
2015-11-01,94.1389175987
2015-12-01,91.1373722305
2016-01-01,91.9681359069
2016-02-01,90.9156574918
