Tarih,TP_DT_IH_FIY_D12_2010
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,114.5113102361
2013-02-01,114.6809333144
2013-03-01,111.5751992726
2013-04-01,110.365940191
2013-05-01,111.0564326083
2013-06-01,112.7624710508
2013-07-01,110.7733366552
2013-08-01,111.3362943212
2013-09-01,108.3920225551
2013-10-01,109.7947697831
2013-11-01,109.3834836776
2013-12-01,112.5024914871
2014-01-01,112.8013778388
2014-02-01,111.4154524442
2014-03-01,111.0150504247
2014-04-01,110.7637437317
2014-05-01,111.5140366846
2014-06-01,113.3465498606
2014-07-01,114.7512363156
2014-08-01,110.2614451801
2014-09-01,107.760735894
2014-10-01,108.3514607335
2014-11-01,108.0466952821
2014-12-01,108.6235527376
2015-01-01,105.977450243
2015-02-01,105.4066469456
2015-03-01,101.0373636724
2015-04-01,100.5085910343
2015-05-01,102.8233466759
2015-06-01,102.7352270524
2015-07-01,102.1522267969
2015-08-01,98.4368556083
2015-09-01,96.0725583042
2015-10-01,94.9225121673
2015-11-01,93.7484495406
2015-12-01,96.178771959
2016-01-01,95.6073009257
2016-02-01,95.3566040079
