Tarih,TP_UNDNAKLIYE_YIT_RO_ADET
2016-05-01,1717.0
2016-06-01,1708.0
2016-07-01,1504.0
2016-08-01,1444.0
2016-09-01,1506.0
2016-10-01,1919.0
2016-11-01,1765.0
2016-12-01,1377.0
2017-01-01,1530.0
2017-02-01,1771.0
2017-03-01,2102.0
2017-04-01,1894.0
2017-05-01,2041.0
2017-06-01,1734.0
2017-07-01,2019.0
2017-08-01,1119.0
2017-09-01,1712.0
2017-10-01,1885.0
2017-11-01,1903.0
2017-12-01,1412.0
2018-01-01,1622.0
2018-02-01,1520.0
2018-03-01,1857.0
2018-04-01,1719.0
2018-05-01,1834.0
2018-06-01,1594.0
2018-07-01,1672.0
2018-08-01,844.0
2018-09-01,1301.0
2018-10-01,1247.0
2018-11-01,1356.0
2018-12-01,1053.0
2019-01-01,1175.0
2019-02-01,1181.0
2019-03-01,1466.0
2019-04-01,1260.0
2019-05-01,1570.0
2019-06-01,1553.0
2019-07-01,1554.0
2019-08-01,863.0
2019-09-01,1252.0
2019-10-01,1467.0
2019-11-01,1444.0
2019-12-01,1337.0
2020-01-01,1429.0
2020-02-01,1860.0
2020-03-01,1928.0
2020-04-01,840.0
2020-05-01,1231.0
2020-06-01,1327.0
2020-07-01,1539.0
2020-08-01,1423.0
2020-09-01,1707.0
2020-10-01,1716.0
2020-11-01,1950.0
2020-12-01,1340.0
2021-01-01,1808.0
2021-02-01,1939.0
2021-03-01,1827.0
2021-04-01,1803.0
2021-05-01,1721.0
2021-06-01,1574.0
2021-07-01,1088.0
2021-08-01,1276.0
2021-09-01,1142.0
2021-10-01,1289.0
2021-11-01,1498.0
2021-12-01,1160.0
2022-01-01,1434.0
2022-02-01,1588.0
2022-03-01,1728.0
2022-04-01,1456.0
2022-05-01,1639.0
2022-06-01,1431.0
2022-07-01,1213.0
2022-08-01,1342.0
2022-09-01,1647.0
2022-10-01,1894.0
2022-11-01,1868.0
2022-12-01,1415.0
2023-01-01,1648.0
2023-02-01,1965.0
2023-03-01,2172.0
2023-04-01,1947.0
2023-05-01,2281.0
2023-06-01,1608.0
2023-07-01,2305.0
2023-08-01,1485.0
2023-09-01,1670.0
2023-10-01,1871.0
2023-11-01,1653.0
2023-12-01,1389.0
2024-01-01,1500.0
2024-02-01,2149.0
2024-03-01,2245.0
2024-04-01,1869.0
2024-05-01,1863.0
2024-06-01,1827.0
2024-07-01,1901.0
2024-08-01,1308.0
2024-09-01,2186.0
2024-10-01,2572.0
2024-11-01,3047.0
2024-12-01,2573.0
2025-01-01,2362.0
2025-02-01,3021.0
2025-03-01,2827.0
2025-04-01,2546.0
2025-05-01,2522.0
2025-06-01,2259.0
2025-07-01,2395.0
2025-08-01,1999.0
2025-09-01,2599.0
