Tarih,TP_UNDNAKLIYE_YIT_RU_ADET
2016-10-01,427.0
2016-11-01,413.0
2016-12-01,386.0
2017-01-01,323.0
2017-02-01,486.0
2017-03-01,528.0
2017-04-01,494.0
2017-05-01,475.0
2017-06-01,452.0
2017-07-01,333.0
2017-08-01,320.0
2017-09-01,229.0
2017-10-01,288.0
2017-11-01,210.0
2017-12-01,207.0
2018-01-01,180.0
2018-02-01,218.0
2018-03-01,228.0
2018-04-01,178.0
2018-05-01,172.0
2018-06-01,138.0
2018-07-01,127.0
2018-08-01,103.0
2018-09-01,100.0
2018-10-01,62.0
2018-11-01,118.0
2018-12-01,243.0
2019-01-01,159.0
2019-02-01,128.0
2019-03-01,138.0
2019-04-01,153.0
2019-05-01,204.0
2019-06-01,166.0
2019-07-01,199.0
2019-08-01,157.0
2019-09-01,130.0
2019-10-01,148.0
2019-11-01,136.0
2019-12-01,146.0
2020-01-01,138.0
2020-02-01,228.0
2020-03-01,264.0
2020-04-01,201.0
2020-05-01,147.0
2020-06-01,98.0
2020-07-01,191.0
2020-08-01,244.0
2020-09-01,244.0
2020-10-01,165.0
2020-11-01,223.0
2020-12-01,299.0
2021-01-01,281.0
2021-02-01,260.0
2021-03-01,316.0
2021-04-01,367.0
2021-05-01,311.0
2021-06-01,191.0
2021-07-01,137.0
2021-08-01,194.0
2021-09-01,237.0
2021-10-01,237.0
2021-11-01,281.0
2021-12-01,290.0
2022-01-01,255.0
2022-02-01,216.0
2022-03-01,238.0
2022-04-01,1023.0
2022-05-01,1918.0
2022-06-01,1493.0
2022-07-01,1402.0
2022-08-01,1374.0
2022-09-01,1190.0
2022-10-01,1359.0
2022-11-01,1259.0
2022-12-01,1187.0
2023-01-01,1613.0
2023-02-01,1377.0
2023-03-01,1841.0
2023-04-01,2211.0
2023-05-01,1792.0
2023-06-01,1605.0
2023-07-01,1247.0
2023-08-01,1117.0
2023-09-01,1148.0
2023-10-01,1288.0
2023-11-01,1558.0
2023-12-01,1385.0
2024-01-01,1377.0
2024-02-01,1112.0
2024-03-01,1321.0
2024-04-01,1460.0
2024-05-01,1269.0
2024-06-01,545.0
2024-07-01,700.0
2024-08-01,546.0
2024-09-01,392.0
2024-10-01,386.0
2024-11-01,491.0
2024-12-01,793.0
2025-01-01,736.0
2025-02-01,722.0
2025-03-01,1159.0
2025-04-01,960.0
2025-05-01,904.0
2025-06-01,719.0
2025-07-01,576.0
2025-08-01,632.0
2025-09-01,393.0
