Tarih,TP_UNDNAKLIYE_YIT_TOPLAM_ADET
2016-05-01,19079.0
2016-06-01,18219.0
2016-07-01,14933.0
2016-08-01,16458.0
2016-09-01,14103.0
2016-10-01,18524.0
2016-11-01,18219.0
2016-12-01,16971.0
2017-01-01,15359.0
2017-02-01,17497.0
2017-03-01,19172.0
2017-04-01,19493.0
2017-05-01,20794.0
2017-06-01,18837.0
2017-07-01,20507.0
2017-08-01,16966.0
2017-09-01,18653.0
2017-10-01,22145.0
2017-11-01,19982.0
2017-12-01,19422.0
2018-01-01,18584.0
2018-02-01,18536.0
2018-03-01,20137.0
2018-04-01,19002.0
2018-05-01,20023.0
2018-06-01,17070.0
2018-07-01,18312.0
2018-08-01,13390.0
2018-09-01,14751.0
2018-10-01,16068.0
2018-11-01,15299.0
2018-12-01,14579.0
2019-01-01,13972.0
2019-02-01,15747.0
2019-03-01,18207.0
2019-04-01,17515.0
2019-05-01,18875.0
2019-06-01,14911.0
2019-07-01,17641.0
2019-08-01,13415.0
2019-09-01,15788.0
2019-10-01,16740.0
2019-11-01,16364.0
2019-12-01,17580.0
2020-01-01,16654.0
2020-02-01,17993.0
2020-03-01,13091.0
2020-04-01,8932.0
2020-05-01,8975.0
2020-06-01,12834.0
2020-07-01,16452.0
2020-08-01,16988.0
2020-09-01,17833.0
2020-10-01,18912.0
2020-11-01,20097.0
2020-12-01,19643.0
2021-01-01,18808.0
2021-02-01,20673.0
2021-03-01,23069.0
2021-04-01,21942.0
2021-05-01,19217.0
2021-06-01,18465.0
2021-07-01,16389.0
2021-08-01,18927.0
2021-09-01,19878.0
2021-10-01,21995.0
2021-11-01,24455.0
2021-12-01,21920.0
2022-01-01,19560.0
2022-02-01,20925.0
2022-03-01,21886.0
2022-04-01,23328.0
2022-05-01,25800.0
2022-06-01,24654.0
2022-07-01,21296.0
2022-08-01,22443.0
2022-09-01,22374.0
2022-10-01,24791.0
2022-11-01,25957.0
2022-12-01,24756.0
2023-01-01,25605.0
2023-02-01,27831.0
2023-03-01,31348.0
2023-04-01,28001.0
2023-05-01,30562.0
2023-06-01,24233.0
2023-07-01,27147.0
2023-08-01,25191.0
2023-09-01,24606.0
2023-10-01,27097.0
2023-11-01,26553.0
2023-12-01,25412.0
2024-01-01,23525.0
2024-02-01,27496.0
2024-03-01,29023.0
2024-04-01,26547.0
2024-05-01,28984.0
2024-06-01,24764.0
2024-07-01,25661.0
2024-08-01,22553.0
2024-09-01,24072.0
2024-10-01,25543.0
2024-11-01,26849.0
2024-12-01,28929.0
2025-01-01,23763.0
2025-02-01,28205.0
2025-03-01,31617.0
2025-04-01,28945.0
2025-05-01,28959.0
2025-06-01,24194.0
2025-07-01,24835.0
2025-08-01,25369.0
2025-09-01,26403.0
