Tarih,TP_UNDNAKLIYE_YIT_HU_ADET
2016-10-01,777.0
2016-11-01,728.0
2016-12-01,782.0
2017-01-01,598.0
2017-02-01,590.0
2017-03-01,705.0
2017-04-01,826.0
2017-05-01,794.0
2017-06-01,739.0
2017-07-01,713.0
2017-08-01,589.0
2017-09-01,650.0
2017-10-01,700.0
2017-11-01,656.0
2017-12-01,689.0
2018-01-01,596.0
2018-02-01,626.0
2018-03-01,643.0
2018-04-01,719.0
2018-05-01,711.0
2018-06-01,642.0
2018-07-01,714.0
2018-08-01,420.0
2018-09-01,528.0
2018-10-01,549.0
2018-11-01,550.0
2018-12-01,592.0
2019-01-01,425.0
2019-02-01,580.0
2019-03-01,647.0
2019-04-01,488.0
2019-05-01,426.0
2019-06-01,440.0
2019-07-01,431.0
2019-08-01,343.0
2019-09-01,581.0
2019-10-01,444.0
2019-11-01,439.0
2019-12-01,416.0
2020-01-01,334.0
2020-02-01,513.0
2020-03-01,445.0
2020-04-01,258.0
2020-05-01,347.0
2020-06-01,429.0
2020-07-01,471.0
2020-08-01,458.0
2020-09-01,541.0
2020-10-01,517.0
2020-11-01,703.0
2020-12-01,572.0
2021-01-01,660.0
2021-02-01,725.0
2021-03-01,798.0
2021-04-01,701.0
2021-05-01,639.0
2021-06-01,584.0
2021-07-01,505.0
2021-08-01,531.0
2021-09-01,541.0
2021-10-01,652.0
2021-11-01,622.0
2021-12-01,596.0
2022-01-01,640.0
2022-02-01,711.0
2022-03-01,819.0
2022-04-01,765.0
2022-05-01,789.0
2022-06-01,822.0
2022-07-01,717.0
2022-08-01,708.0
2022-09-01,660.0
2022-10-01,826.0
2022-11-01,818.0
2022-12-01,807.0
2023-01-01,794.0
2023-02-01,804.0
2023-03-01,961.0
2023-04-01,853.0
2023-05-01,910.0
2023-06-01,894.0
2023-07-01,764.0
2023-08-01,616.0
2023-09-01,550.0
2023-10-01,666.0
2023-11-01,664.0
2023-12-01,597.0
2024-01-01,625.0
2024-02-01,577.0
2024-03-01,577.0
2024-04-01,500.0
2024-05-01,639.0
2024-06-01,566.0
2024-07-01,513.0
2024-08-01,410.0
2024-09-01,502.0
2024-10-01,397.0
2024-11-01,461.0
2024-12-01,526.0
2025-01-01,515.0
2025-02-01,635.0
2025-03-01,799.0
2025-04-01,685.0
2025-05-01,760.0
2025-06-01,693.0
2025-07-01,584.0
2025-08-01,499.0
2025-09-01,520.0
