Tarih,TP_UNDNAKLIYE_YIT_BG_ADET
2016-05-01,3226.0
2016-06-01,3467.0
2016-07-01,2503.0
2016-08-01,2975.0
2016-09-01,2375.0
2016-10-01,3427.0
2016-11-01,3130.0
2016-12-01,2897.0
2017-01-01,2307.0
2017-02-01,2987.0
2017-03-01,3388.0
2017-04-01,3090.0
2017-05-01,3639.0
2017-06-01,3165.0
2017-07-01,3197.0
2017-08-01,2696.0
2017-09-01,2955.0
2017-10-01,3319.0
2017-11-01,3357.0
2017-12-01,2832.0
2018-01-01,3426.0
2018-02-01,2856.0
2018-03-01,2952.0
2018-04-01,2734.0
2018-05-01,2885.0
2018-06-01,2484.0
2018-07-01,2717.0
2018-08-01,1803.0
2018-09-01,2293.0
2018-10-01,2573.0
2018-11-01,2345.0
2018-12-01,1833.0
2019-01-01,1941.0
2019-02-01,1953.0
2019-03-01,2120.0
2019-04-01,1992.0
2019-05-01,2102.0
2019-06-01,1742.0
2019-07-01,1954.0
2019-08-01,1647.0
2019-09-01,2186.0
2019-10-01,2433.0
2019-11-01,2372.0
2019-12-01,1948.0
2020-01-01,2310.0
2020-02-01,2295.0
2020-03-01,2294.0
2020-04-01,1765.0
2020-05-01,1766.0
2020-06-01,1518.0
2020-07-01,1777.0
2020-08-01,1984.0
2020-09-01,1948.0
2020-10-01,2007.0
2020-11-01,2632.0
2020-12-01,2296.0
2021-01-01,2445.0
2021-02-01,2257.0
2021-03-01,2379.0
2021-04-01,2333.0
2021-05-01,1976.0
2021-06-01,1981.0
2021-07-01,1641.0
2021-08-01,1929.0
2021-09-01,2050.0
2021-10-01,2704.0
2021-11-01,2570.0
2021-12-01,2359.0
2022-01-01,2231.0
2022-02-01,2175.0
2022-03-01,2356.0
2022-04-01,2064.0
2022-05-01,2181.0
2022-06-01,2386.0
2022-07-01,1967.0
2022-08-01,2189.0
2022-09-01,2366.0
2022-10-01,2652.0
2022-11-01,2635.0
2022-12-01,2306.0
2023-01-01,2706.0
2023-02-01,3114.0
2023-03-01,3037.0
2023-04-01,2475.0
2023-05-01,2961.0
2023-06-01,2614.0
2023-07-01,2835.0
2023-08-01,2514.0
2023-09-01,3596.0
2023-10-01,4146.0
2023-11-01,3993.0
2023-12-01,3827.0
2024-01-01,3650.0
2024-02-01,4506.0
2024-03-01,4916.0
2024-04-01,4362.0
2024-05-01,4832.0
2024-06-01,3927.0
2024-07-01,4265.0
2024-08-01,3641.0
2024-09-01,3910.0
2024-10-01,3727.0
2024-11-01,4282.0
2024-12-01,4458.0
2025-01-01,3637.0
2025-02-01,4300.0
2025-03-01,4784.0
2025-04-01,4016.0
2025-05-01,3901.0
2025-06-01,3257.0
2025-07-01,3691.0
2025-08-01,3412.0
2025-09-01,3361.0
