Tarih,TP_UNDNAKLIYE_YIT_TM_ADET
2016-10-01,53.0
2016-11-01,138.0
2016-12-01,110.0
2017-01-01,223.0
2017-02-01,122.0
2017-03-01,250.0
2017-04-01,260.0
2017-05-01,145.0
2017-06-01,209.0
2017-07-01,144.0
2017-08-01,112.0
2017-09-01,84.0
2017-10-01,283.0
2017-11-01,279.0
2017-12-01,360.0
2018-01-01,150.0
2018-02-01,205.0
2018-03-01,199.0
2018-04-01,187.0
2018-05-01,171.0
2018-06-01,149.0
2018-07-01,185.0
2018-08-01,155.0
2018-09-01,130.0
2018-10-01,133.0
2018-11-01,191.0
2018-12-01,198.0
2019-01-01,147.0
2019-02-01,183.0
2019-03-01,239.0
2019-04-01,314.0
2019-05-01,286.0
2019-06-01,285.0
2019-07-01,251.0
2019-08-01,304.0
2019-09-01,263.0
2019-10-01,352.0
2019-11-01,322.0
2019-12-01,346.0
2020-01-01,372.0
2020-02-01,462.0
2020-03-01,173.0
2020-04-01,8.0
2020-05-01,17.0
2020-06-01,12.0
2020-07-01,8.0
2020-08-01,10.0
2020-09-01,15.0
2020-10-01,15.0
2020-11-01,12.0
2020-12-01,23.0
2021-01-01,27.0
2021-02-01,41.0
2021-03-01,46.0
2021-04-01,26.0
2021-05-01,60.0
2021-06-01,26.0
2021-07-01,51.0
2021-08-01,40.0
2021-09-01,33.0
2021-10-01,107.0
2021-11-01,116.0
2021-12-01,118.0
2022-01-01,41.0
2022-02-01,211.0
2022-03-01,202.0
2022-04-01,152.0
2022-05-01,146.0
2022-06-01,40.0
2022-07-01,65.0
2022-08-01,37.0
2022-09-01,63.0
2022-10-01,160.0
2022-11-01,219.0
2022-12-01,245.0
2023-01-01,423.0
2023-02-01,434.0
2023-03-01,376.0
2023-04-01,392.0
2023-05-01,400.0
2023-06-01,408.0
2023-07-01,448.0
2023-08-01,613.0
2023-09-01,350.0
2023-10-01,232.0
2023-11-01,517.0
2023-12-01,481.0
2024-01-01,417.0
2024-02-01,540.0
2024-03-01,606.0
2024-04-01,605.0
2024-05-01,663.0
2024-06-01,466.0
2024-07-01,475.0
2024-08-01,718.0
2024-09-01,624.0
2024-10-01,554.0
2024-11-01,648.0
2024-12-01,747.0
2025-01-01,678.0
2025-02-01,536.0
2025-03-01,665.0
2025-04-01,451.0
2025-05-01,305.0
2025-06-01,330.0
2025-07-01,554.0
2025-08-01,514.0
2025-09-01,564.0
