Tarih,TP_UNDNAKLIYE_YIT_DE_ADET
2016-06-01,1513.0
2016-07-01,1084.0
2016-08-01,1386.0
2016-09-01,1007.0
2016-10-01,1399.0
2016-11-01,1267.0
2016-12-01,1497.0
2017-01-01,1121.0
2017-02-01,1502.0
2017-03-01,1853.0
2017-04-01,1679.0
2017-05-01,1877.0
2017-06-01,1656.0
2017-07-01,1725.0
2017-08-01,1563.0
2017-09-01,1524.0
2017-10-01,1645.0
2017-11-01,1520.0
2017-12-01,1790.0
2018-01-01,1276.0
2018-02-01,1460.0
2018-03-01,1884.0
2018-04-01,1684.0
2018-05-01,1539.0
2018-06-01,1240.0
2018-07-01,1228.0
2018-08-01,836.0
2018-09-01,812.0
2018-10-01,816.0
2018-11-01,636.0
2018-12-01,922.0
2019-01-01,565.0
2019-02-01,800.0
2019-03-01,923.0
2019-04-01,1067.0
2019-05-01,1040.0
2019-06-01,910.0
2019-07-01,1347.0
2019-08-01,929.0
2019-09-01,1055.0
2019-10-01,1129.0
2019-11-01,1053.0
2019-12-01,1331.0
2020-01-01,832.0
2020-02-01,1421.0
2020-03-01,1293.0
2020-04-01,918.0
2020-05-01,728.0
2020-06-01,903.0
2020-07-01,1111.0
2020-08-01,1154.0
2020-09-01,1200.0
2020-10-01,1274.0
2020-11-01,1409.0
2020-12-01,1569.0
2021-01-01,915.0
2021-02-01,1552.0
2021-03-01,1789.0
2021-04-01,1283.0
2021-05-01,997.0
2021-06-01,1000.0
2021-07-01,988.0
2021-08-01,1169.0
2021-09-01,978.0
2021-10-01,1056.0
2021-11-01,972.0
2021-12-01,1303.0
2022-01-01,840.0
2022-02-01,1028.0
2022-03-01,1247.0
2022-04-01,1212.0
2022-05-01,1092.0
2022-06-01,1155.0
2022-07-01,1059.0
2022-08-01,1446.0
2022-09-01,1072.0
2022-10-01,1207.0
2022-11-01,1236.0
2022-12-01,1548.0
2023-01-01,962.0
2023-02-01,1695.0
2023-03-01,1669.0
2023-04-01,1438.0
2023-05-01,1426.0
2023-06-01,1046.0
2023-07-01,1249.0
2023-08-01,1088.0
2023-09-01,840.0
2023-10-01,779.0
2023-11-01,712.0
2023-12-01,959.0
2024-01-01,578.0
2024-02-01,715.0
2024-03-01,876.0
2024-04-01,575.0
2024-05-01,651.0
2024-06-01,503.0
2024-07-01,547.0
2024-08-01,462.0
2024-09-01,404.0
2024-10-01,438.0
2024-11-01,437.0
2024-12-01,626.0
2025-01-01,396.0
2025-02-01,658.0
2025-03-01,844.0
2025-04-01,874.0
2025-05-01,869.0
2025-06-01,696.0
2025-07-01,714.0
2025-08-01,575.0
2025-09-01,583.0
