Tarih,TP_UNDNAKLIYE_YIT_CZ_ADET
2016-10-01,760.0
2016-11-01,739.0
2016-12-01,593.0
2017-01-01,545.0
2017-02-01,607.0
2017-03-01,703.0
2017-04-01,693.0
2017-05-01,706.0
2017-06-01,629.0
2017-07-01,735.0
2017-08-01,653.0
2017-09-01,643.0
2017-10-01,768.0
2017-11-01,690.0
2017-12-01,598.0
2018-01-01,621.0
2018-02-01,631.0
2018-03-01,694.0
2018-04-01,683.0
2018-05-01,767.0
2018-06-01,623.0
2018-07-01,774.0
2018-08-01,354.0
2018-09-01,531.0
2018-10-01,543.0
2018-11-01,522.0
2018-12-01,513.0
2019-01-01,429.0
2019-02-01,462.0
2019-03-01,565.0
2019-04-01,589.0
2019-05-01,554.0
2019-06-01,555.0
2019-07-01,535.0
2019-08-01,390.0
2019-09-01,604.0
2019-10-01,636.0
2019-11-01,561.0
2019-12-01,554.0
2020-01-01,434.0
2020-02-01,551.0
2020-03-01,498.0
2020-04-01,298.0
2020-05-01,0.0
2020-06-01,391.0
2020-07-01,459.0
2020-08-01,472.0
2020-09-01,486.0
2020-10-01,531.0
2020-11-01,509.0
2020-12-01,550.0
2021-01-01,475.0
2021-02-01,453.0
2021-03-01,659.0
2021-04-01,495.0
2021-05-01,417.0
2021-06-01,478.0
2021-07-01,392.0
2021-08-01,529.0
2021-09-01,425.0
2021-10-01,466.0
2021-11-01,476.0
2021-12-01,504.0
2022-01-01,385.0
2022-02-01,445.0
2022-03-01,528.0
2022-04-01,512.0
2022-05-01,487.0
2022-06-01,576.0
2022-07-01,428.0
2022-08-01,547.0
2022-09-01,556.0
2022-10-01,573.0
2022-11-01,608.0
2022-12-01,612.0
2023-01-01,599.0
2023-02-01,602.0
2023-03-01,661.0
2023-04-01,658.0
2023-05-01,715.0
2023-06-01,640.0
2023-07-01,720.0
2023-08-01,509.0
2023-09-01,377.0
2023-10-01,416.0
2023-11-01,338.0
2023-12-01,339.0
2024-01-01,325.0
2024-02-01,210.0
2024-03-01,209.0
2024-04-01,197.0
2024-05-01,190.0
2024-06-01,205.0
2024-07-01,170.0
2024-08-01,144.0
2024-09-01,167.0
2024-10-01,147.0
2024-11-01,161.0
2024-12-01,181.0
2025-01-01,167.0
2025-02-01,226.0
2025-03-01,296.0
2025-04-01,280.0
2025-05-01,284.0
2025-06-01,287.0
2025-07-01,242.0
2025-08-01,192.0
2025-09-01,270.0
