Tarih,TP_UNDNAKLIYE_YIT_UA_ADET
2016-10-01,611.0
2016-11-01,734.0
2016-12-01,583.0
2017-01-01,387.0
2017-02-01,478.0
2017-03-01,742.0
2017-04-01,689.0
2017-05-01,812.0
2017-06-01,813.0
2017-07-01,882.0
2017-08-01,882.0
2017-09-01,1001.0
2017-10-01,1041.0
2017-11-01,1045.0
2017-12-01,1004.0
2018-01-01,851.0
2018-02-01,770.0
2018-03-01,782.0
2018-04-01,933.0
2018-05-01,804.0
2018-06-01,522.0
2018-07-01,580.0
2018-08-01,369.0
2018-09-01,290.0
2018-10-01,407.0
2018-11-01,339.0
2018-12-01,390.0
2019-01-01,431.0
2019-02-01,395.0
2019-03-01,573.0
2019-04-01,634.0
2019-05-01,645.0
2019-06-01,469.0
2019-07-01,487.0
2019-08-01,367.0
2019-09-01,355.0
2019-10-01,465.0
2019-11-01,525.0
2019-12-01,676.0
2020-01-01,571.0
2020-02-01,737.0
2020-03-01,582.0
2020-04-01,359.0
2020-05-01,514.0
2020-06-01,570.0
2020-07-01,595.0
2020-08-01,687.0
2020-09-01,804.0
2020-10-01,676.0
2020-11-01,665.0
2020-12-01,768.0
2021-01-01,678.0
2021-02-01,615.0
2021-03-01,801.0
2021-04-01,781.0
2021-05-01,662.0
2021-06-01,602.0
2021-07-01,531.0
2021-08-01,716.0
2021-09-01,735.0
2021-10-01,736.0
2021-11-01,979.0
2021-12-01,767.0
2022-01-01,712.0
2022-02-01,708.0
2022-03-01,346.0
2022-04-01,792.0
2022-05-01,1292.0
2022-06-01,1373.0
2022-07-01,1524.0
2022-08-01,1500.0
2022-09-01,1658.0
2022-10-01,1877.0
2022-11-01,2365.0
2022-12-01,2530.0
2023-01-01,2001.0
2023-02-01,2971.0
2023-03-01,3094.0
2023-04-01,3005.0
2023-05-01,3385.0
2023-06-01,2061.0
2023-07-01,2009.0
2023-08-01,2263.0
2023-09-01,2126.0
2023-10-01,2486.0
2023-11-01,2546.0
2023-12-01,2236.0
2024-01-01,2296.0
2024-02-01,2078.0
2024-03-01,2178.0
2024-04-01,2317.0
2024-05-01,2249.0
2024-06-01,1850.0
2024-07-01,1723.0
2024-08-01,1827.0
2024-09-01,1620.0
2024-10-01,1798.0
2024-11-01,2356.0
2024-12-01,2525.0
2025-01-01,1719.0
2025-02-01,1747.0
2025-03-01,1843.0
2025-04-01,1627.0
2025-05-01,1687.0
2025-06-01,1652.0
2025-07-01,1465.0
2025-08-01,1517.0
2025-09-01,1415.0
