Tarih,TP_UNDNAKLIYE_YIT_IR_ADET
2016-05-01,2803.0
2016-06-01,2646.0
2016-07-01,2949.0
2016-08-01,3305.0
2016-09-01,2974.0
2016-10-01,3484.0
2016-11-01,3783.0
2016-12-01,3353.0
2017-01-01,3445.0
2017-02-01,3370.0
2017-03-01,2686.0
2017-04-01,3656.0
2017-05-01,3644.0
2017-06-01,3650.0
2017-07-01,4641.0
2017-08-01,4016.0
2017-09-01,4180.0
2017-10-01,5520.0
2017-11-01,4296.0
2017-12-01,4413.0
2018-01-01,4245.0
2018-02-01,4360.0
2018-03-01,4390.0
2018-04-01,4354.0
2018-05-01,5717.0
2018-06-01,4981.0
2018-07-01,5046.0
2018-08-01,4526.0
2018-09-01,4375.0
2018-10-01,5430.0
2018-11-01,5199.0
2018-12-01,4770.0
2019-01-01,4858.0
2019-02-01,5490.0
2019-03-01,6027.0
2019-04-01,5389.0
2019-05-01,7305.0
2019-06-01,5284.0
2019-07-01,6883.0
2019-08-01,5353.0
2019-09-01,5413.0
2019-10-01,5444.0
2019-11-01,5083.0
2019-12-01,5782.0
2020-01-01,5690.0
2020-02-01,3742.0
2020-03-01,8.0
2020-04-01,2.0
2020-05-01,0.0
2020-06-01,2859.0
2020-07-01,5114.0
2020-08-01,5513.0
2020-09-01,5256.0
2020-10-01,5616.0
2020-11-01,5612.0
2020-12-01,5530.0
2021-01-01,5791.0
2021-02-01,5999.0
2021-03-01,6149.0
2021-04-01,5879.0
2021-05-01,6005.0
2021-06-01,5371.0
2021-07-01,5306.0
2021-08-01,5675.0
2021-09-01,6523.0
2021-10-01,7007.0
2021-11-01,7187.0
2021-12-01,5953.0
2022-01-01,5467.0
2022-02-01,5117.0
2022-03-01,5410.0
2022-04-01,5876.0
2022-05-01,6705.0
2022-06-01,6808.0
2022-07-01,5993.0
2022-08-01,6162.0
2022-09-01,6116.0
2022-10-01,6447.0
2022-11-01,6756.0
2022-12-01,6130.0
2023-01-01,6814.0
2023-02-01,5622.0
2023-03-01,5833.0
2023-04-01,5707.0
2023-05-01,6931.0
2023-06-01,5616.0
2023-07-01,6690.0
2023-08-01,6949.0
2023-09-01,6533.0
2023-10-01,7317.0
2023-11-01,6798.0
2023-12-01,6207.0
2024-01-01,5117.0
2024-02-01,5813.0
2024-03-01,6618.0
2024-04-01,5827.0
2024-05-01,6822.0
2024-06-01,6648.0
2024-07-01,7052.0
2024-08-01,6620.0
2024-09-01,6577.0
2024-10-01,6758.0
2024-11-01,6607.0
2024-12-01,6595.0
2025-01-01,5438.0
2025-02-01,7099.0
2025-03-01,7546.0
2025-04-01,7576.0
2025-05-01,7929.0
2025-06-01,6656.0
2025-07-01,6717.0
2025-08-01,8472.0
2025-09-01,8367.0
