Tarih,TP_API_REP_ORT_G1
2018-02-01,12.75
2018-03-01,12.75
2018-04-01,12.79
2018-05-01,14.29
2018-06-01,16.77
2018-07-01,19.25
2018-08-01,19.25
2018-09-01,19.83
2018-10-01,25.5
2018-11-01,
2018-12-01,25.5
2019-01-01,25.5
2019-01-02,
2019-01-03,25.5
2019-01-04,25.5
2019-01-05,25.5
2019-01-06,23.21
2019-01-07,22.48
2019-01-08,18.75
2019-01-09,16.96
2019-01-10,15.09
2019-01-11,13.0
2019-01-12,12.41
2019-02-01,
2019-03-01,25.5
2019-04-01,25.5
2019-05-01,25.5
2019-06-01,23.21
2019-07-01,22.48
2019-08-01,18.75
2019-09-01,16.96
2019-10-01,15.09
2019-11-01,13.0
2019-12-01,12.41
2020-01-01,10.65
2020-01-02,10.1
2020-01-03,9.25
2020-01-04,8.56
2020-01-05,7.7
2020-01-06,7.26
2020-01-07,7.29
2020-01-08,9.5
2020-01-09,10.08
2020-01-10,11.76
2020-01-11,14.71
2020-01-12,16.5
2020-02-01,10.1
2020-03-01,9.25
2020-04-01,8.56
2020-05-01,7.7
2020-06-01,7.26
2020-07-01,7.29
2020-08-01,9.5
2020-09-01,10.08
2020-10-01,11.76
2020-11-01,14.71
2020-12-01,16.5
2021-01-01,
2021-01-02,18.5
2021-01-03,
2021-01-04,20.5
2021-01-05,
2021-01-06,20.5
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,15.51
2021-02-01,18.5
2021-03-01,
2021-04-01,20.5
2021-05-01,
2021-06-01,20.5
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,15.51
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,15.5
2022-01-05,
2022-01-06,15.5
2022-01-07,15.5
2022-01-08,15.5
2022-01-09,
2022-01-10,13.5
2022-01-11,11.99
2022-01-12,10.5
2022-02-01,
2022-03-01,
2022-04-01,15.5
2022-05-01,
2022-06-01,15.5
2022-07-01,15.5
2022-08-01,15.5
2022-09-01,
2022-10-01,13.5
2022-11-01,11.99
2022-12-01,10.5
2023-01-01,10.5
2023-01-02,
2023-01-03,10.0
2023-01-04,10.0
2023-01-05,10.0
2023-01-06,10.13
2023-01-07,16.5
2023-01-08,19.0
2023-01-09,26.5
2023-01-10,31.5
2023-01-11,40.88
2023-01-12,
2023-02-01,
2023-03-01,10.0
2023-04-01,10.0
2023-05-01,10.0
2023-06-01,10.13
2023-07-01,16.5
2023-08-01,19.0
2023-09-01,26.5
2023-10-01,31.5
2023-11-01,40.88
2023-12-01,
2024-01-01,44.0
2024-01-02,46.5
2024-01-03,46.69
2024-01-04,53.0
2024-01-05,53.0
2024-01-06,53.0
2024-01-07,
2024-01-08,53.0
2024-01-09,53.0
2024-01-10,
2024-01-11,
2024-01-12,
2024-02-01,46.5
2024-03-01,46.69
2024-04-01,53.0
2024-05-01,53.0
2024-06-01,53.0
2024-07-01,
2024-08-01,53.0
2024-09-01,53.0
2024-10-01,
2024-11-01,
2024-12-01,
2025-01-01,
2025-01-02,
2025-01-03,46.0
2025-01-04,46.56
2025-01-05,49.0
2025-01-06,49.0
2025-02-01,
2025-03-01,46.0
2025-04-01,46.56
2025-05-01,49.0
2025-06-01,49.0
