Tarih,TP_UNDNAKLIYE_YBG_TOPLAM_ADET
2016-05-01,9965.0
2016-06-01,11652.0
2016-07-01,6624.0
2016-08-01,8650.0
2016-09-01,9843.0
2016-10-01,12250.0
2016-11-01,12187.0
2016-12-01,9287.0
2017-01-01,7746.0
2017-02-01,8826.0
2017-03-01,10639.0
2017-04-01,9516.0
2017-05-01,10109.0
2017-06-01,9665.0
2017-07-01,9078.0
2017-08-01,11053.0
2017-09-01,10626.0
2017-10-01,13663.0
2017-11-01,12796.0
2017-12-01,11372.0
2018-01-01,10238.0
2018-02-01,10409.0
2018-03-01,12846.0
2018-04-01,12494.0
2018-05-01,13955.0
2018-06-01,12880.0
2018-07-01,13635.0
2018-08-01,13189.0
2018-09-01,16184.0
2018-10-01,19178.0
2018-11-01,18594.0
2018-12-01,14370.0
2019-01-01,14033.0
2019-02-01,14176.0
2019-03-01,16145.0
2019-04-01,14093.0
2019-05-01,18361.0
2019-06-01,13563.0
2019-07-01,17387.0
2019-08-01,15925.0
2019-09-01,17792.0
2019-10-01,20079.0
2019-11-01,18954.0
2019-12-01,15996.0
2020-01-01,9146.0
2020-02-01,11990.0
2020-03-01,12696.0
2020-04-01,8403.0
2020-05-01,13604.0
2020-06-01,18817.0
2020-07-01,18536.0
2020-08-01,17772.0
2020-09-01,20321.0
2020-10-01,22236.0
2020-11-01,20112.0
2020-12-01,17383.0
2021-01-01,17547.0
2021-02-01,17397.0
2021-03-01,21411.0
2021-04-01,22210.0
2021-05-01,21870.0
2021-06-01,25096.0
2021-07-01,22799.0
2021-08-01,24053.0
2021-09-01,26317.0
2021-10-01,25423.0
2021-11-01,26523.0
2021-12-01,23419.0
2022-01-01,23267.0
2022-02-01,23968.0
2022-03-01,24513.0
2022-04-01,24514.0
2022-05-01,25770.0
2022-06-01,27768.0
2022-07-01,24779.0
2022-08-01,26191.0
2022-09-01,28355.0
2022-10-01,29068.0
2022-11-01,28288.0
2022-12-01,25333.0
2023-01-01,23246.0
2023-02-01,20938.0
2023-03-01,25687.0
2023-04-01,22616.0
2023-05-01,25194.0
2023-06-01,24846.0
2023-07-01,26247.0
2023-08-01,27613.0
2023-09-01,28366.0
2023-10-01,31276.0
2023-11-01,32069.0
2023-12-01,28348.0
2024-01-01,27724.0
2024-02-01,27137.0
2024-03-01,28986.0
2024-04-01,26328.0
2024-05-01,29479.0
2024-06-01,27676.0
2024-07-01,30937.0
2024-08-01,32111.0
2024-09-01,32961.0
2024-10-01,33008.0
2024-11-01,30870.0
2024-12-01,28242.0
2025-01-01,25991.0
2025-02-01,23827.0
2025-03-01,27443.0
2025-04-01,26171.0
2025-05-01,29763.0
2025-06-01,26189.0
2025-07-01,29317.0
2025-08-01,28767.0
2025-09-01,28668.0
