Tarih,TP_UNDNAKLIYE_YBG_RU_ADET
2016-10-01,123.0
2016-11-01,140.0
2016-12-01,109.0
2017-01-01,81.0
2017-02-01,118.0
2017-03-01,14.0
2017-04-01,28.0
2017-05-01,88.0
2017-06-01,190.0
2017-07-01,131.0
2017-08-01,167.0
2017-09-01,189.0
2017-10-01,223.0
2017-11-01,192.0
2017-12-01,169.0
2018-01-01,201.0
2018-02-01,188.0
2018-03-01,242.0
2018-04-01,214.0
2018-05-01,252.0
2018-06-01,287.0
2018-07-01,298.0
2018-08-01,327.0
2018-09-01,340.0
2018-10-01,337.0
2018-11-01,214.0
2018-12-01,183.0
2019-01-01,243.0
2019-02-01,252.0
2019-03-01,236.0
2019-04-01,258.0
2019-05-01,279.0
2019-06-01,262.0
2019-07-01,288.0
2019-08-01,272.0
2019-09-01,260.0
2019-10-01,338.0
2019-11-01,318.0
2019-12-01,226.0
2020-01-01,198.0
2020-02-01,247.0
2020-03-01,176.0
2020-04-01,119.0
2020-05-01,168.0
2020-06-01,373.0
2020-07-01,390.0
2020-08-01,324.0
2020-09-01,390.0
2020-10-01,356.0
2020-11-01,330.0
2020-12-01,343.0
2021-01-01,775.0
2021-02-01,857.0
2021-03-01,424.0
2021-04-01,407.0
2021-05-01,436.0
2021-06-01,415.0
2021-07-01,450.0
2021-08-01,941.0
2021-09-01,1045.0
2021-10-01,1157.0
2021-11-01,1119.0
2021-12-01,845.0
2022-01-01,430.0
2022-02-01,357.0
2022-03-01,75.0
2022-04-01,105.0
2022-05-01,48.0
2022-06-01,25.0
2022-07-01,42.0
2022-08-01,25.0
2022-09-01,28.0
2022-10-01,32.0
2022-11-01,13.0
2022-12-01,15.0
2023-01-01,16.0
2023-02-01,9.0
2023-03-01,16.0
2023-04-01,9.0
2023-05-01,9.0
2023-06-01,5.0
2023-07-01,10.0
2023-08-01,5.0
2023-09-01,6.0
2023-10-01,7.0
2023-11-01,39.0
2023-12-01,9.0
2024-01-01,11.0
2024-02-01,3.0
2024-03-01,4.0
2024-04-01,25.0
2024-05-01,23.0
2024-06-01,15.0
2024-07-01,16.0
2024-08-01,25.0
2024-09-01,17.0
2024-10-01,22.0
2024-11-01,19.0
2024-12-01,28.0
2025-01-01,7.0
2025-02-01,23.0
2025-03-01,39.0
2025-04-01,26.0
2025-05-01,11.0
2025-06-01,12.0
2025-07-01,12.0
2025-08-01,24.0
2025-09-01,38.0
