Tarih,TP_UNDNAKLIYE_YBG_CT_ADET
2016-07-01,1078.0
2016-08-01,1470.0
2016-09-01,1217.0
2016-10-01,1777.0
2016-11-01,1740.0
2016-12-01,1634.0
2017-01-01,1174.0
2017-02-01,1062.0
2017-03-01,1449.0
2017-04-01,1191.0
2017-05-01,1561.0
2017-06-01,1549.0
2017-07-01,1690.0
2017-08-01,1794.0
2017-09-01,1628.0
2017-10-01,1959.0
2017-11-01,1947.0
2017-12-01,1781.0
2018-01-01,1401.0
2018-02-01,1023.0
2018-03-01,1482.0
2018-04-01,1398.0
2018-05-01,2035.0
2018-06-01,1821.0
2018-07-01,1862.0
2018-08-01,1396.0
2018-09-01,2091.0
2018-10-01,1860.0
2018-11-01,1925.0
2018-12-01,1632.0
2019-01-01,1303.0
2019-02-01,918.0
2019-03-01,1253.0
2019-04-01,1020.0
2019-05-01,1594.0
2019-06-01,1344.0
2019-07-01,1756.0
2019-08-01,1481.0
2019-09-01,1777.0
2019-10-01,2003.0
2019-11-01,1931.0
2019-12-01,1854.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,789.0
2020-04-01,265.0
2020-05-01,804.0
2020-06-01,1547.0
2020-07-01,1726.0
2020-08-01,1524.0
2020-09-01,1886.0
2020-10-01,2110.0
2020-11-01,1883.0
2020-12-01,2028.0
2021-01-01,1311.0
2021-02-01,615.0
2021-03-01,1049.0
2021-04-01,1088.0
2021-05-01,1487.0
2021-06-01,2072.0
2021-07-01,1586.0
2021-08-01,2021.0
2021-09-01,2313.0
2021-10-01,2311.0
2021-11-01,2311.0
2021-12-01,2427.0
2022-01-01,1541.0
2022-02-01,1285.0
2022-03-01,1719.0
2022-04-01,1658.0
2022-05-01,1514.0
2022-06-01,2250.0
2022-07-01,1679.0
2022-08-01,2274.0
2022-09-01,2320.0
2022-10-01,2394.0
2022-11-01,2188.0
2022-12-01,2371.0
2023-01-01,1407.0
2023-02-01,956.0
2023-03-01,1636.0
2023-04-01,1442.0
2023-05-01,1935.0
2023-06-01,2095.0
2023-07-01,2188.0
2023-08-01,2491.0
2023-09-01,2373.0
2023-10-01,2517.0
2023-11-01,2475.0
2023-12-01,2918.0
2024-01-01,2128.0
2024-02-01,2786.0
2024-03-01,2663.0
2024-04-01,2186.0
2024-05-01,3046.0
2024-06-01,2390.0
2024-07-01,2990.0
2024-08-01,2926.0
2024-09-01,2917.0
2024-10-01,3072.0
2024-11-01,3098.0
2024-12-01,3202.0
2025-01-01,2696.0
2025-02-01,2237.0
2025-03-01,2361.0
2025-04-01,2206.0
2025-05-01,2881.0
2025-06-01,2697.0
2025-07-01,3248.0
2025-08-01,3080.0
2025-09-01,3120.0
