Tarih,TP_UNDNAKLIYE_YBG_RO_ADET
2016-09-01,596.0
2016-10-01,717.0
2016-11-01,711.0
2016-12-01,451.0
2017-01-01,421.0
2017-02-01,477.0
2017-03-01,572.0
2017-04-01,456.0
2017-05-01,572.0
2017-06-01,648.0
2017-07-01,492.0
2017-08-01,956.0
2017-09-01,704.0
2017-10-01,1118.0
2017-11-01,1016.0
2017-12-01,718.0
2018-01-01,908.0
2018-02-01,923.0
2018-03-01,1267.0
2018-04-01,998.0
2018-05-01,876.0
2018-06-01,1204.0
2018-07-01,1457.0
2018-08-01,1605.0
2018-09-01,1795.0
2018-10-01,2047.0
2018-11-01,1586.0
2018-12-01,1030.0
2019-01-01,1378.0
2019-02-01,1409.0
2019-03-01,1492.0
2019-04-01,1231.0
2019-05-01,1468.0
2019-06-01,993.0
2019-07-01,1530.0
2019-08-01,1464.0
2019-09-01,1411.0
2019-10-01,1541.0
2019-11-01,1543.0
2019-12-01,1004.0
2020-01-01,818.0
2020-02-01,917.0
2020-03-01,827.0
2020-04-01,518.0
2020-05-01,894.0
2020-06-01,1316.0
2020-07-01,1409.0
2020-08-01,1241.0
2020-09-01,1433.0
2020-10-01,1537.0
2020-11-01,1439.0
2020-12-01,1048.0
2021-01-01,2300.0
2021-02-01,2240.0
2021-03-01,1772.0
2021-04-01,1722.0
2021-05-01,2011.0
2021-06-01,2417.0
2021-07-01,2379.0
2021-08-01,3306.0
2021-09-01,3864.0
2021-10-01,4091.0
2021-11-01,4454.0
2021-12-01,3325.0
2022-01-01,2873.0
2022-02-01,2808.0
2022-03-01,2894.0
2022-04-01,2981.0
2022-05-01,2627.0
2022-06-01,3005.0
2022-07-01,2711.0
2022-08-01,2624.0
2022-09-01,2970.0
2022-10-01,3024.0
2022-11-01,2621.0
2022-12-01,1817.0
2023-01-01,2458.0
2023-02-01,1925.0
2023-03-01,1903.0
2023-04-01,1648.0
2023-05-01,1840.0
2023-06-01,1699.0
2023-07-01,1531.0
2023-08-01,1689.0
2023-09-01,1717.0
2023-10-01,1866.0
2023-11-01,1676.0
2023-12-01,1307.0
2024-01-01,1530.0
2024-02-01,1431.0
2024-03-01,1687.0
2024-04-01,1567.0
2024-05-01,1379.0
2024-06-01,1242.0
2024-07-01,1400.0
2024-08-01,1291.0
2024-09-01,1410.0
2024-10-01,1574.0
2024-11-01,1598.0
2024-12-01,1324.0
2025-01-01,1508.0
2025-02-01,1280.0
2025-03-01,1467.0
2025-04-01,1366.0
2025-05-01,1632.0
2025-06-01,1495.0
2025-07-01,1587.0
2025-08-01,1320.0
2025-09-01,1417.0
