Tarih,TP_UNDNAKLIYE_YBG_BG_ADET
2016-06-01,1420.0
2016-07-01,1011.0
2016-08-01,1646.0
2016-09-01,1740.0
2016-10-01,1790.0
2016-11-01,2009.0
2016-12-01,1285.0
2017-01-01,1141.0
2017-02-01,1256.0
2017-03-01,1417.0
2017-04-01,1269.0
2017-05-01,1311.0
2017-06-01,1272.0
2017-07-01,1178.0
2017-08-01,1644.0
2017-09-01,1655.0
2017-10-01,2247.0
2017-11-01,2171.0
2017-12-01,1172.0
2018-01-01,1410.0
2018-02-01,1475.0
2018-03-01,1763.0
2018-04-01,2032.0
2018-05-01,2488.0
2018-06-01,2431.0
2018-07-01,2521.0
2018-08-01,2812.0
2018-09-01,3460.0
2018-10-01,4012.0
2018-11-01,4388.0
2018-12-01,2484.0
2019-01-01,3350.0
2019-02-01,3424.0
2019-03-01,3904.0
2019-04-01,3268.0
2019-05-01,4527.0
2019-06-01,3354.0
2019-07-01,4377.0
2019-08-01,3822.0
2019-09-01,4278.0
2019-10-01,4965.0
2019-11-01,4232.0
2019-12-01,3307.0
2020-01-01,3257.0
2020-02-01,3968.0
2020-03-01,3002.0
2020-04-01,2270.0
2020-05-01,3456.0
2020-06-01,5372.0
2020-07-01,5191.0
2020-08-01,5195.0
2020-09-01,5476.0
2020-10-01,6745.0
2020-11-01,5910.0
2020-12-01,4626.0
2021-01-01,2635.0
2021-02-01,2424.0
2021-03-01,7190.0
2021-04-01,7051.0
2021-05-01,5963.0
2021-06-01,7605.0
2021-07-01,6550.0
2021-08-01,3380.0
2021-09-01,3116.0
2021-10-01,2096.0
2021-11-01,2692.0
2021-12-01,2448.0
2022-01-01,7680.0
2022-02-01,7604.0
2022-03-01,8881.0
2022-04-01,8199.0
2022-05-01,8306.0
2022-06-01,8002.0
2022-07-01,6563.0
2022-08-01,6510.0
2022-09-01,7693.0
2022-10-01,7713.0
2022-11-01,7435.0
2022-12-01,5901.0
2023-01-01,6562.0
2023-02-01,5952.0
2023-03-01,7115.0
2023-04-01,6198.0
2023-05-01,7483.0
2023-06-01,7893.0
2023-07-01,7523.0
2023-08-01,8868.0
2023-09-01,9163.0
2023-10-01,10697.0
2023-11-01,12125.0
2023-12-01,10128.0
2024-01-01,11638.0
2024-02-01,10343.0
2024-03-01,10668.0
2024-04-01,9693.0
2024-05-01,11238.0
2024-06-01,10741.0
2024-07-01,12032.0
2024-08-01,12273.0
2024-09-01,12468.0
2024-10-01,12200.0
2024-11-01,10704.0
2024-12-01,8853.0
2025-01-01,9164.0
2025-02-01,7973.0
2025-03-01,9127.0
2025-04-01,8801.0
2025-05-01,10843.0
2025-06-01,9640.0
2025-07-01,11271.0
2025-08-01,10781.0
2025-09-01,10543.0
