Tarih,TP_UNDNAKLIYE_YBG_GE_ADET
2016-05-01,3000.0
2016-06-01,3053.0
2016-07-01,2035.0
2016-08-01,2197.0
2016-09-01,2863.0
2016-10-01,3228.0
2016-11-01,3080.0
2016-12-01,2534.0
2017-01-01,2205.0
2017-02-01,2560.0
2017-03-01,3149.0
2017-04-01,3313.0
2017-05-01,3285.0
2017-06-01,3223.0
2017-07-01,3007.0
2017-08-01,3105.0
2017-09-01,3246.0
2017-10-01,3772.0
2017-11-01,3145.0
2017-12-01,3618.0
2018-01-01,2965.0
2018-02-01,3232.0
2018-03-01,3829.0
2018-04-01,4164.0
2018-05-01,4078.0
2018-06-01,3543.0
2018-07-01,3480.0
2018-08-01,3031.0
2018-09-01,3372.0
2018-10-01,4354.0
2018-11-01,3818.0
2018-12-01,3717.0
2019-01-01,2588.0
2019-02-01,3080.0
2019-03-01,3668.0
2019-04-01,3736.0
2019-05-01,4926.0
2019-06-01,3663.0
2019-07-01,4847.0
2019-08-01,4370.0
2019-09-01,4898.0
2019-10-01,5235.0
2019-11-01,4906.0
2019-12-01,4963.0
2020-01-01,2961.0
2020-02-01,4232.0
2020-03-01,4667.0
2020-04-01,3060.0
2020-05-01,4260.0
2020-06-01,5356.0
2020-07-01,4943.0
2020-08-01,5152.0
2020-09-01,5828.0
2020-10-01,5781.0
2020-11-01,5025.0
2020-12-01,4638.0
2021-01-01,2777.0
2021-02-01,3233.0
2021-03-01,5235.0
2021-04-01,6103.0
2021-05-01,5883.0
2021-06-01,6421.0
2021-07-01,5891.0
2021-08-01,3671.0
2021-09-01,4198.0
2021-10-01,4047.0
2021-11-01,3468.0
2021-12-01,3599.0
2022-01-01,5174.0
2022-02-01,5680.0
2022-03-01,4763.0
2022-04-01,5992.0
2022-05-01,7325.0
2022-06-01,7442.0
2022-07-01,7672.0
2022-08-01,8242.0
2022-09-01,8043.0
2022-10-01,8769.0
2022-11-01,8771.0
2022-12-01,9153.0
2023-01-01,7497.0
2023-02-01,6339.0
2023-03-01,9056.0
2023-04-01,8529.0
2023-05-01,8362.0
2023-06-01,7813.0
2023-07-01,8858.0
2023-08-01,8719.0
2023-09-01,9381.0
2023-10-01,9416.0
2023-11-01,9185.0
2023-12-01,8694.0
2024-01-01,6966.0
2024-02-01,7004.0
2024-03-01,8172.0
2024-04-01,8622.0
2024-05-01,8736.0
2024-06-01,9093.0
2024-07-01,9372.0
2024-08-01,9873.0
2024-09-01,10019.0
2024-10-01,9913.0
2024-11-01,8439.0
2024-12-01,8241.0
2025-01-01,6883.0
2025-02-01,6174.0
2025-03-01,8554.0
2025-04-01,8603.0
2025-05-01,8470.0
2025-06-01,7507.0
2025-07-01,7733.0
2025-08-01,8368.0
2025-09-01,7913.0
