Tarih,TP_UNDNAKLIYE_YBG_MD_ADET
2016-10-01,486.0
2016-11-01,617.0
2016-12-01,618.0
2017-01-01,369.0
2017-02-01,375.0
2017-03-01,528.0
2017-04-01,324.0
2017-05-01,402.0
2017-06-01,360.0
2017-07-01,255.0
2017-08-01,287.0
2017-09-01,299.0
2017-10-01,360.0
2017-11-01,362.0
2017-12-01,417.0
2018-01-01,303.0
2018-02-01,324.0
2018-03-01,384.0
2018-04-01,345.0
2018-05-01,405.0
2018-06-01,373.0
2018-07-01,429.0
2018-08-01,376.0
2018-09-01,422.0
2018-10-01,543.0
2018-11-01,642.0
2018-12-01,595.0
2019-01-01,398.0
2019-02-01,418.0
2019-03-01,454.0
2019-04-01,411.0
2019-05-01,464.0
2019-06-01,409.0
2019-07-01,420.0
2019-08-01,442.0
2019-09-01,408.0
2019-10-01,495.0
2019-11-01,583.0
2019-12-01,538.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,242.0
2020-04-01,141.0
2020-05-01,310.0
2020-06-01,429.0
2020-07-01,423.0
2020-08-01,343.0
2020-09-01,343.0
2020-10-01,361.0
2020-11-01,450.0
2020-12-01,458.0
2021-01-01,844.0
2021-02-01,757.0
2021-03-01,453.0
2021-04-01,464.0
2021-05-01,522.0
2021-06-01,614.0
2021-07-01,534.0
2021-08-01,756.0
2021-09-01,851.0
2021-10-01,811.0
2021-11-01,942.0
2021-12-01,893.0
2022-01-01,601.0
2022-02-01,527.0
2022-03-01,356.0
2022-04-01,351.0
2022-05-01,284.0
2022-06-01,281.0
2022-07-01,266.0
2022-08-01,391.0
2022-09-01,407.0
2022-10-01,339.0
2022-11-01,292.0
2022-12-01,331.0
2023-01-01,273.0
2023-02-01,325.0
2023-03-01,284.0
2023-04-01,207.0
2023-05-01,230.0
2023-06-01,250.0
2023-07-01,328.0
2023-08-01,302.0
2023-09-01,364.0
2023-10-01,338.0
2023-11-01,314.0
2023-12-01,337.0
2024-01-01,260.0
2024-02-01,313.0
2024-03-01,374.0
2024-04-01,276.0
2024-05-01,242.0
2024-06-01,221.0
2024-07-01,234.0
2024-08-01,264.0
2024-09-01,311.0
2024-10-01,420.0
2024-11-01,586.0
2024-12-01,581.0
2025-01-01,355.0
2025-02-01,368.0
2025-03-01,331.0
2025-04-01,313.0
2025-05-01,366.0
2025-06-01,339.0
2025-07-01,327.0
2025-08-01,232.0
2025-09-01,228.0
