Tarih,TP_IHRISICREV4_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,477388.805
2013-02-01,435380.862
2013-03-01,450353.675
2013-04-01,392100.684
2013-05-01,420580.52
2013-06-01,407181.366
2013-07-01,319071.689
2013-08-01,268398.161
2013-09-01,359532.344
2013-10-01,469380.558
2013-11-01,668362.605
2013-12-01,671592.491
2014-01-01,558061.781
2014-02-01,467465.413
2014-03-01,506342.863
2014-04-01,428515.875
2014-05-01,445455.3
2014-06-01,404699.809
2014-07-01,279055.927
2014-08-01,355880.58
2014-09-01,415931.232
2014-10-01,557356.376
2014-11-01,627776.192
2014-12-01,665602.538
2015-01-01,536185.565
2015-02-01,438366.368
2015-03-01,470344.418
2015-04-01,374932.201
2015-05-01,359235.796
2015-06-01,394958.185
2015-07-01,321550.993
2015-08-01,303398.9
2015-09-01,312254.33
2015-10-01,565919.9
2015-11-01,573106.327
2015-12-01,643533.467
2016-01-01,408209.661
2016-02-01,474619.323
2016-03-01,501001.562
2016-04-01,466695.542
2016-05-01,402583.928
2016-06-01,458558.102
2016-07-01,303101.494
2016-08-01,390056.706
2016-09-01,374559.879
