Tarih,TP_IHRISICREV4_A
2016-10-01,564958.458
2016-11-01,659507.446
2016-12-01,683042.341
2017-01-01,504585.623
2017-02-01,470368.122
2017-03-01,467266.905
2017-04-01,360872.595
2017-05-01,382861.269
2017-06-01,412338.096
2017-07-01,347043.893
2017-08-01,370302.67
2017-09-01,431150.042
2017-10-01,533374.113
2017-11-01,616474.71
2017-12-01,682700.936
2018-01-01,542689.663
2018-02-01,518599.629
2018-03-01,512796.079
2018-04-01,385189.439
2018-05-01,470559.8
2018-06-01,403604.094
2018-07-01,350637.822
2018-08-01,355026.534
2018-09-01,455150.192
2018-10-01,580909.434
2018-11-01,667121.924
2018-12-01,604364.719
2019-01-01,538524.051
2019-02-01,480011.659
2019-03-01,452697.957
2019-04-01,388301.071
2019-05-01,430695.607
2019-06-01,382511.741
2019-07-01,348380.459
2019-08-01,316273.179
2019-09-01,410580.688
2019-10-01,557771.129
2019-11-01,618037.188
2019-12-01,673703.392
2020-01-01,569818.118
2020-02-01,475944.619
2020-03-01,442723.787
2020-04-01,372438.733
2020-05-01,369311.371
2020-06-01,489879.606
2020-07-01,419802.313
2020-08-01,351988.288
2020-09-01,459724.7
2020-10-01,578084.871
2020-11-01,658194.71
2020-12-01,770743.176
2021-01-01,600823.0
2021-02-01,569502.0
2021-03-01,587713.0
2021-04-01,536616.0
2021-05-01,494066.0
2021-06-01,600256.0
2021-07-01,430961.0
2021-08-01,438336.0
2021-09-01,592675.0
2021-10-01,644283.0
2021-11-01,769096.0
2021-12-01,891715.0
2022-01-01,701462.0
2022-02-01,678868.0
2022-03-01,692676.0
2022-04-01,567943.0
2022-05-01,542864.0
2022-06-01,667610.0
2022-07-01,457289.0
2022-08-01,514818.0
2022-09-01,596409.0
2022-10-01,651949.0
2022-11-01,801495.0
2022-12-01,894432.0
2023-01-01,812938.0
2023-02-01,673131.0
2023-03-01,777160.0
2023-04-01,604833.0
2023-05-01,597845.0
2023-06-01,580055.0
2023-07-01,720754.0
2023-08-01,711356.0
2023-09-01,892686.0
2023-10-01,1011984.0
2023-11-01,1103853.0
2023-12-01,1146382.0
2024-01-01,956508.0
2024-02-01,872827.0
2024-03-01,776318.0
2024-04-01,634482.0
2024-05-01,744310.0
2024-06-01,689384.0
2024-07-01,623316.0
2024-08-01,678058.0
2024-09-01,746638.0
2024-10-01,850992.0
2024-11-01,949521.0
2024-12-01,962056.0
2025-01-01,961595.0
2025-02-01,899457.0
2025-03-01,857670.0
2025-04-01,685049.0
2025-05-01,748134.0
2025-06-01,596059.0
2025-07-01,548272.0
2025-08-01,597194.0
