Tarih,TP_IHRISICREV4_E
2016-10-01,42220.128
2016-11-01,50599.958
2016-12-01,51556.173
2017-01-01,47752.809
2017-02-01,45997.783
2017-03-01,51284.693
2017-04-01,45761.349
2017-05-01,43779.455
2017-06-01,42723.222
2017-07-01,35257.104
2017-08-01,41578.337
2017-09-01,43098.481
2017-10-01,49336.625
2017-11-01,50813.652
2017-12-01,40516.475
2018-01-01,54732.226
2018-02-01,45373.819
2018-03-01,59633.447
2018-04-01,53790.473
2018-05-01,64013.533
2018-06-01,51792.828
2018-07-01,48910.3
2018-08-01,51914.123
2018-09-01,60054.133
2018-10-01,59361.586
2018-11-01,55038.288
2018-12-01,47038.61
2019-01-01,41547.925
2019-02-01,49219.097
2019-03-01,47564.124
2019-04-01,52349.225
2019-05-01,57259.256
2019-06-01,35712.809
2019-07-01,46154.215
2019-08-01,41327.478
2019-09-01,57247.238
2019-10-01,55350.41
2019-11-01,49638.186
2019-12-01,51494.927
2020-01-01,44353.207
2020-02-01,51901.859
2020-03-01,47263.748
2020-04-01,28759.624
2020-05-01,36878.178
2020-06-01,44908.734
2020-07-01,52266.854
2020-08-01,46603.876
2020-09-01,58500.43
2020-10-01,49515.812
2020-11-01,50771.537
2020-12-01,60469.68
2021-01-01,49030.0
2021-02-01,57397.0
2021-03-01,65333.0
2021-04-01,60624.0
2021-05-01,51921.0
2021-06-01,76559.0
2021-07-01,63473.0
2021-08-01,73016.0
2021-09-01,82762.0
2021-10-01,55063.0
2021-11-01,70482.0
2021-12-01,75182.0
2022-01-01,57326.0
2022-02-01,83542.0
2022-03-01,83769.0
2022-04-01,93438.0
2022-05-01,61778.0
2022-06-01,79377.0
2022-07-01,54797.0
2022-08-01,73586.0
2022-09-01,78949.0
2022-10-01,59981.0
2022-11-01,73474.0
2022-12-01,78881.0
2023-01-01,75331.0
2023-02-01,53734.0
2023-03-01,85023.0
2023-04-01,69014.0
2023-05-01,76495.0
2023-06-01,66611.0
2023-07-01,58065.0
2023-08-01,79690.0
2023-09-01,79738.0
2023-10-01,74463.0
2023-11-01,78458.0
2023-12-01,73345.0
2024-01-01,71345.0
2024-02-01,63782.0
2024-03-01,72349.0
2024-04-01,52945.0
2024-05-01,87825.0
2024-06-01,56567.0
2024-07-01,83678.0
2024-08-01,71361.0
2024-09-01,75565.0
2024-10-01,71507.0
2024-11-01,71875.0
2024-12-01,69646.0
2025-01-01,70919.0
2025-02-01,75559.0
2025-03-01,93898.0
2025-04-01,73682.0
2025-05-01,89001.0
2025-06-01,76610.0
2025-07-01,114189.0
2025-08-01,108015.0
