Tarih,TP_IHRISICREV4_E
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,43587.884
2013-02-01,54496.241
2013-03-01,45060.878
2013-04-01,57242.005
2013-05-01,47287.99
2013-06-01,52812.356
2013-07-01,41392.188
2013-08-01,44634.753
2013-09-01,68188.991
2013-10-01,48273.079
2013-11-01,61748.59
2013-12-01,49453.094
2014-01-01,64350.322
2014-02-01,57374.478
2014-03-01,69034.647
2014-04-01,65938.377
2014-05-01,72780.284
2014-06-01,62271.492
2014-07-01,55427.701
2014-08-01,41888.553
2014-09-01,64120.513
2014-10-01,46247.079
2014-11-01,43686.467
2014-12-01,42794.571
2015-01-01,36318.021
2015-02-01,30967.865
2015-03-01,46974.129
2015-04-01,49531.453
2015-05-01,43670.124
2015-06-01,51590.111
2015-07-01,37535.801
2015-08-01,34890.823
2015-09-01,36333.504
2015-10-01,39913.589
2015-11-01,31503.828
2015-12-01,27207.342
2016-01-01,24713.103
2016-02-01,29632.429
2016-03-01,38824.697
2016-04-01,33367.057
2016-05-01,34568.334
2016-06-01,37859.047
2016-07-01,27757.067
2016-08-01,46803.867
2016-09-01,35680.087
