Tarih,TP_IHRISICREV4_22
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,511977.205
2013-02-01,555881.597
2013-03-01,595535.374
2013-04-01,606302.066
2013-05-01,632667.626
2013-06-01,592764.194
2013-07-01,639490.498
2013-08-01,569018.558
2013-09-01,663305.472
2013-10-01,600376.19
2013-11-01,712631.682
2013-12-01,611837.483
2014-01-01,614323.821
2014-02-01,619277.03
2014-03-01,663787.115
2014-04-01,690106.151
2014-05-01,697614.564
2014-06-01,674283.273
2014-07-01,695412.093
2014-08-01,612858.975
2014-09-01,667186.532
2014-10-01,611312.941
2014-11-01,614479.999
2014-12-01,595925.433
2015-01-01,527024.311
2015-02-01,531474.536
2015-03-01,557404.544
2015-04-01,573783.924
2015-05-01,556441.564
2015-06-01,595838.193
2015-07-01,565373.686
2015-08-01,546575.304
2015-09-01,534310.802
2015-10-01,608564.639
2015-11-01,543178.315
2015-12-01,519116.32
2016-01-01,447560.684
2016-02-01,542969.984
2016-03-01,611332.993
2016-04-01,570007.246
2016-05-01,547441.837
2016-06-01,601043.519
2016-07-01,455963.34
2016-08-01,565826.728
2016-09-01,527646.926
