Tarih,TP_IHRISICREV4_06
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,24406.291
2013-02-01,16945.887
2013-03-01,16628.632
2013-04-01,12392.151
2013-05-01,21683.475
2013-06-01,13775.272
2013-07-01,24567.678
2013-08-01,22026.542
2013-09-01,21301.754
2013-10-01,24217.182
2013-11-01,25560.569
2013-12-01,25247.105
2014-01-01,20343.489
2014-02-01,24365.441
2014-03-01,22160.231
2014-04-01,20674.32
2014-05-01,13431.141
2014-06-01,9413.359
2014-07-01,18704.366
2014-08-01,25154.44
2014-09-01,26894.228
2014-10-01,25332.885
2014-11-01,7911.095
2014-12-01,11751.309
2015-01-01,19129.247
2015-02-01,9631.981
2015-03-01,14415.258
2015-04-01,20895.168
2015-05-01,13181.319
2015-06-01,13364.802
2015-07-01,5310.766
2015-08-01,18510.549
2015-09-01,18634.858
2015-10-01,15693.42
2015-11-01,11159.385
2015-12-01,8333.705
2016-01-01,16566.736
2016-02-01,10808.917
2016-03-01,3233.321
2016-04-01,14048.497
2016-05-01,13055.679
2016-06-01,13335.649
2016-07-01,13009.138
2016-08-01,6787.385
2016-09-01,11404.981
