Tarih,TP_IHRISICREV4_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,319073.151
2013-02-01,308157.423
2013-03-01,287621.087
2013-04-01,279788.301
2013-05-01,394990.062
2013-06-01,326140.576
2013-07-01,343395.709
2013-08-01,312457.476
2013-09-01,341476.042
2013-10-01,301530.095
2013-11-01,344754.387
2013-12-01,332916.41
2014-01-01,281615.823
2014-02-01,242255.052
2014-03-01,274536.946
2014-04-01,295196.987
2014-05-01,331340.602
2014-06-01,290867.9
2014-07-01,309672.593
2014-08-01,293619.666
2014-09-01,291929.17
2014-10-01,262262.433
2014-11-01,274457.505
2014-12-01,256281.503
2015-01-01,197752.315
2015-02-01,188852.164
2015-03-01,183752.008
2015-04-01,248384.759
2015-05-01,304035.893
2015-06-01,285598.759
2015-07-01,254824.305
2015-08-01,255088.394
2015-09-01,214989.283
2015-10-01,224160.56
2015-11-01,201153.005
2015-12-01,219282.268
2016-01-01,169917.062
2016-02-01,163065.229
2016-03-01,161229.884
2016-04-01,244482.108
2016-05-01,223282.919
2016-06-01,234531.692
2016-07-01,203330.323
2016-08-01,241396.061
2016-09-01,243389.171
