Tarih,TP_IHRISICREV4_B
2016-10-01,256901.514
2016-11-01,263629.371
2016-12-01,251312.173
2017-01-01,232301.528
2017-02-01,213223.185
2017-03-01,279603.015
2017-04-01,332244.561
2017-05-01,331462.654
2017-06-01,258752.628
2017-07-01,295094.768
2017-08-01,354148.187
2017-09-01,285150.647
2017-10-01,312203.718
2017-11-01,289908.051
2017-12-01,313846.221
2018-01-01,300178.045
2018-02-01,241902.698
2018-03-01,267777.97
2018-04-01,254429.754
2018-05-01,329325.549
2018-06-01,281378.155
2018-07-01,293704.267
2018-08-01,244266.24
2018-09-01,277096.465
2018-10-01,305818.846
2018-11-01,311318.088
2018-12-01,286554.746
2019-01-01,242857.35
2019-02-01,231163.599
2019-03-01,260733.275
2019-04-01,263086.908
2019-05-01,343109.08
2019-06-01,259943.347
2019-07-01,277639.861
2019-08-01,264377.932
2019-09-01,253151.727
2019-10-01,264103.435
2019-11-01,280629.55
2019-12-01,259544.265
2020-01-01,250649.253
2020-02-01,182838.684
2020-03-01,203591.041
2020-04-01,241949.66
2020-05-01,194694.999
2020-06-01,195292.245
2020-07-01,245278.595
2020-08-01,222057.733
2020-09-01,289765.02
2020-10-01,252637.002
2020-11-01,304530.749
2020-12-01,349141.632
2021-01-01,249446.0
2021-02-01,288040.0
2021-03-01,298444.0
2021-04-01,380380.0
2021-05-01,409107.0
2021-06-01,320038.0
2021-07-01,340063.0
2021-08-01,350531.0
2021-09-01,403475.0
2021-10-01,302593.0
2021-11-01,377034.0
2021-12-01,340565.0
2022-01-01,368781.0
2022-02-01,302538.0
2022-03-01,337614.0
2022-04-01,461426.0
2022-05-01,362586.0
2022-06-01,396976.0
2022-07-01,528811.0
2022-08-01,419741.0
2022-09-01,330804.0
2022-10-01,357223.0
2022-11-01,346745.0
2022-12-01,406743.0
2023-01-01,313224.0
2023-02-01,275367.0
2023-03-01,299410.0
2023-04-01,300902.0
2023-05-01,352741.0
2023-06-01,320713.0
2023-07-01,315631.0
2023-08-01,306443.0
2023-09-01,325605.0
2023-10-01,333084.0
2023-11-01,310393.0
2023-12-01,349276.0
2024-01-01,325670.0
2024-02-01,297800.0
2024-03-01,339963.0
2024-04-01,338909.0
2024-05-01,404249.0
2024-06-01,308231.0
2024-07-01,480613.0
2024-08-01,380092.0
2024-09-01,349097.0
2024-10-01,580930.0
2024-11-01,322228.0
2024-12-01,365863.0
2025-01-01,316176.0
2025-02-01,300877.0
2025-03-01,387014.0
2025-04-01,359767.0
2025-05-01,357928.0
2025-06-01,351838.0
2025-07-01,403345.0
2025-08-01,347154.0
