Tarih,TP_IHRISICREV4_07
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,159413.232
2013-02-01,197991.465
2013-03-01,148774.672
2013-04-01,110440.942
2013-05-01,174638.213
2013-06-01,132092.243
2013-07-01,126820.815
2013-08-01,136564.166
2013-09-01,144997.018
2013-10-01,113309.783
2013-11-01,143933.235
2013-12-01,146035.844
2014-01-01,93999.888
2014-02-01,111459.36
2014-03-01,132315.538
2014-04-01,115128.594
2014-05-01,127329.023
2014-06-01,110113.886
2014-07-01,127931.03
2014-08-01,121295.099
2014-09-01,103633.111
2014-10-01,98784.649
2014-11-01,121530.71
2014-12-01,104663.176
2015-01-01,65209.045
2015-02-01,89906.033
2015-03-01,72883.643
2015-04-01,77184.402
2015-05-01,135079.246
2015-06-01,105750.749
2015-07-01,83116.09
2015-08-01,93729.609
2015-09-01,64033.39
2015-10-01,68047.363
2015-11-01,57695.776
2015-12-01,78347.847
2016-01-01,37001.572
2016-02-01,66982.23
2016-03-01,45246.178
2016-04-01,85203.753
2016-05-01,63602.973
2016-06-01,72128.944
2016-07-01,70359.183
2016-08-01,69682.542
2016-09-01,84860.994
