Tarih,TP_IHRISICREV4_R
2017-01-01,425.557
2017-02-01,309.638
2017-03-01,588.426
2017-04-01,955.95
2017-05-01,1208.884
2017-06-01,1568.238
2017-07-01,323.536
2017-08-01,321.42
2017-09-01,353.195
2017-10-01,144.861
2017-11-01,499.407
2017-12-01,2570.291
2018-01-01,70.375
2018-02-01,1165.582
2018-03-01,180.987
2018-04-01,612.542
2018-05-01,1815.979
2018-06-01,360.232
2018-07-01,378.492
2018-08-01,287.644
2018-09-01,4979.042
2018-10-01,2536.423
2018-11-01,8165.551
2018-12-01,1200.21
2019-01-01,546.907
2019-02-01,912.817
2019-03-01,691.419
2019-04-01,986.301
2019-05-01,1912.526
2019-06-01,1554.494
2019-07-01,156.386
2019-08-01,2066.27
2019-09-01,1188.875
2019-10-01,2833.703
2019-11-01,829.752
2019-12-01,443.053
2020-01-01,610.926
2020-02-01,216.328
2020-03-01,2412.936
2020-04-01,869.019
2020-05-01,267.061
2020-06-01,2338.862
2020-07-01,1293.276
2020-08-01,935.23
2020-09-01,592.159
2020-10-01,506.561
2020-11-01,506.867
2020-12-01,402.967
2021-01-01,1841.0
2021-02-01,487.0
2021-03-01,631.0
2021-04-01,574.0
2021-05-01,585.0
2021-06-01,1609.0
2021-07-01,472.0
2021-08-01,1915.0
2021-09-01,938.0
2021-10-01,607.0
2021-11-01,766.0
2021-12-01,1349.0
2022-01-01,1175.0
2022-02-01,2519.0
2022-03-01,1402.0
2022-04-01,713.0
2022-05-01,923.0
2022-06-01,828.0
2022-07-01,671.0
2022-08-01,1160.0
2022-09-01,664.0
2022-10-01,3976.0
2022-11-01,999.0
2022-12-01,1618.0
2023-01-01,1761.0
2023-02-01,954.0
2023-03-01,1219.0
2023-04-01,1456.0
2023-05-01,706.0
2023-06-01,683.0
2023-07-01,1132.0
2023-08-01,871.0
2023-09-01,918.0
2023-10-01,1713.0
2023-11-01,1205.0
2023-12-01,1088.0
2024-01-01,975.0
2024-02-01,1419.0
2024-03-01,1138.0
2024-04-01,881.0
2024-05-01,1855.0
2024-06-01,790.0
2024-07-01,1645.0
2024-08-01,1412.0
2024-09-01,763.0
2024-10-01,904.0
2024-11-01,1104.0
2024-12-01,1567.0
2025-01-01,1309.0
2025-02-01,1076.0
2025-03-01,2254.0
2025-04-01,806.0
2025-05-01,1428.0
2025-06-01,1044.0
2025-07-01,814.0
2025-08-01,1147.0
